#Archive/File	Name	Time	Size	Type
Archive	GSE324375_RAW.tar	08/06/2026 00:43:26	1103073280	TAR
File	GSM9574578_Masopust_053_1a_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 19:36:23	44143442	H5
File	GSM9574579_Masopust_053_1b_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 18:50:48	37149491	H5
File	GSM9574580_Masopust_053_2a_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 18:42:02	54246935	H5
File	GSM9574581_Masopust_053_2b_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 20:08:48	53890918	H5
File	GSM9574582_Masopust_053_3a_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 18:20:00	44374097	H5
File	GSM9574583_Masopust_053_3b_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 18:16:15	37687526	H5
File	GSM9574584_Masopust_053_6a_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 20:04:03	40826147	H5
File	GSM9574585_Masopust_053_6b_GEX_FL_filtered_feature_bc_matrix.h5	03/06/2026 18:05:15	48866210	H5
File	GSM9574586_Masopust_053_1a_ADT_FL.csv.gz	03/09/2026 16:36:13	19943460	CSV
File	GSM9574587_Masopust_053_1b_ADT_FL.csv.gz	03/09/2026 16:36:18	19300226	CSV
File	GSM9574588_Masopust_053_2a_ADT_FL.csv.gz	03/09/2026 16:36:25	25552780	CSV
File	GSM9574589_Masopust_053_2b_ADT_FL.csv.gz	03/09/2026 16:36:33	27038984	CSV
File	GSM9574590_Masopust_053_3a_ADT_FL.csv.gz	03/09/2026 16:36:38	20390754	CSV
File	GSM9574591_Masopust_053_3b_ADT_FL.csv.gz	03/09/2026 16:36:43	16343043	CSV
File	GSM9574592_Masopust_053_6a_ADT_FL.csv.gz	03/09/2026 16:36:50	26981358	CSV
File	GSM9574593_Masopust_053_6b_ADT_FL.csv.gz	03/09/2026 16:36:57	24000186	CSV
File	GSM9574594_Masopust_053_1a_HTO_FL.csv.gz	03/09/2026 16:36:58	1896904	CSV
File	GSM9574595_Masopust_053_1b_HTO_FL.csv.gz	03/09/2026 16:36:59	1931708	CSV
File	GSM9574596_Masopust_053_2a_HTO_FL.csv.gz	03/09/2026 16:37:00	2068183	CSV
File	GSM9574597_Masopust_053_2b_HTO_FL.csv.gz	03/09/2026 16:37:01	2087623	CSV
File	GSM9574598_Masopust_053_3a_HTO_FL.csv.gz	03/09/2026 16:37:01	1676632	CSV
File	GSM9574599_Masopust_053_3b_HTO_FL.csv.gz	03/09/2026 16:37:02	1315162	CSV
File	GSM9574600_Masopust_053_6a_HTO_FL.csv.gz	03/09/2026 16:37:03	2491250	CSV
File	GSM9574601_Masopust_053_6b_HTO_FL.csv.gz	03/09/2026 16:37:04	1908287	CSV
File	GSM9574602_Masopust_054_A_GEX_filtered_feature_bc_matrix.h5	03/06/2026 20:31:39	57073474	H5
File	GSM9574603_Masopust_054_B_GEX_filtered_feature_bc_matrix.h5	03/06/2026 19:27:26	25811204	H5
File	GSM9574604_Masopust_054_C_GEX_filtered_feature_bc_matrix.h5	03/06/2026 19:46:07	33119555	H5
File	GSM9574605_Masopust_054_D_GEX_filtered_feature_bc_matrix.h5	03/06/2026 18:17:59	56543621	H5
File	GSM9574606_Masopust_054_E_GEX_filtered_feature_bc_matrix.h5	03/06/2026 19:36:52	36581748	H5
File	GSM9574607_Masopust_054_A_ADT.csv.gz	03/09/2026 16:37:22	70999296	CSV
File	GSM9574608_Masopust_054_B_ADT.csv.gz	03/09/2026 16:37:41	73238961	CSV
File	GSM9574609_Masopust_054_C_ADT.csv.gz	03/09/2026 16:37:57	56172244	CSV
File	GSM9574610_Masopust_054_D_ADT.csv.gz	03/09/2026 16:38:15	68793431	CSV
File	GSM9574611_Masopust_054_E_ADT.csv.gz	03/09/2026 16:38:30	53997359	CSV
File	GSM9574612_Masopust_054_A_HTO.csv.gz	03/09/2026 16:38:31	1709679	CSV
File	GSM9574613_Masopust_054_B_HTO.csv.gz	03/09/2026 16:38:33	4802839	CSV
File	GSM9574614_Masopust_054_C_HTO.csv.gz	03/09/2026 16:38:34	3362342	CSV
File	GSM9574615_Masopust_054_D_HTO.csv.gz	03/09/2026 16:38:36	3532606	CSV
File	GSM9574616_Masopust_054_E_HTO.csv.gz	03/09/2026 16:38:37	1184773	CSV
