geo_accession	title	modality	library_name	source	tissue	cell_line	cell_type	treatment_geo	molecule	supplementary_type	supplementary_url	biosample	sra_experiment
GSM9574578	Tumor, baseline or relevant peptide treated (12h), channel 1, RNA	GEX	Masopust_053_1a_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Baseline and relevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574578/suppl/GSM9574578_Masopust_053_1a_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406535	SRX32430322
GSM9574579	Tumor, baseline or relevant peptide treated (12h), channel 2, RNA	GEX	Masopust_053_1b_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Baseline and relevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574579/suppl/GSM9574579_Masopust_053_1b_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406534	SRX32430323
GSM9574580	Tumor, relevant (48h) or irrelevant peptide treated (12h), channel 1, RNA	GEX	Masopust_053_2a_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant and irrelevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574580/suppl/GSM9574580_Masopust_053_2a_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406533	SRX32430324
GSM9574581	Tumor, relevant (48h) or irrelevant peptide treated (12h), channel 2, RNA	GEX	Masopust_053_2b_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant and irrelevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574581/suppl/GSM9574581_Masopust_053_2b_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406532	SRX32430325
GSM9574582	Tumor, irrelevant (48h) or relevant peptide treated (12h), channel 1, RNA	GEX	Masopust_053_3a_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant and irrelevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574582/suppl/GSM9574582_Masopust_053_3a_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406531	SRX32430326
GSM9574583	Tumor, irrelevant (48h) or relevant peptide treated (12h), channel 2, RNA	GEX	Masopust_053_3b_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Relevant and irrelevant peptide	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574583/suppl/GSM9574583_Masopust_053_3b_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406530	SRX32430327
GSM9574584	Tumor, innate agonist treated, channel 1, RNA	GEX	Masopust_053_6a_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Innate agonist	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574584/suppl/GSM9574584_Masopust_053_6a_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406529	SRX32430328
GSM9574585	Tumor, innate agonist treated, channel 2, RNA	GEX	Masopust_053_6b_GEX_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Innate agonist	polyA RNA	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574585/suppl/GSM9574585_Masopust_053_6b_GEX_FL_filtered_feature_bc_matrix.h5	SAMN56406528	SRX32430329
GSM9574586	Tumor, baseline or relevant peptide treated (12h), channel 1, ADT	ADT	Masopust_053_1a_ADT_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Baseline and relevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574586/suppl/GSM9574586_Masopust_053_1a_ADT_FL.csv.gz	SAMN56406527	SRX32430330
GSM9574587	Tumor, baseline or relevant peptide treated (12h), channel 2, ADT	ADT	Masopust_053_1b_ADT_FL	B16 tumors	B16 tumors	B16.F10 melanoma	Melanoma and infiltrated immune cells	Baseline and relevant peptide	protein	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9574nnn/GSM9574587/suppl/GSM9574587_Masopust_053_1b_ADT_FL.csv.gz	SAMN56406526	SRX32430331
