protein	lineage	selector	n_paired_mice	median_paired_CLR_difference	direction_consistency	pvalue	FDR	excluded_selector_protein	eligible_discovery_result
anti-mouse CD54	CD4	ADT_activation	47	0.7929346561431885	0.9787234042553191	2.5572637341042537e-09	2.7490585141620727e-08	False	True
anti-mouse CD73	CD4	ADT_activation	47	-0.3827037215232849	0.02127659574468085	2.5572637341042537e-09	2.7490585141620727e-08	False	True
anti-mouse CD49d	CD4	ADT_activation	47	-0.35058438777923584	0.0	2.3968314000200053e-09	2.7490585141620727e-08	False	True
anti-mouse CD25	CD4	ADT_activation	47	1.1837000846862793	1.0	2.3968314000200053e-09	2.7490585141620727e-08	True	False
anti-mouse CD357 (GITR)	CD4	ADT_activation	47	0.7750684022903442	0.9787234042553191	2.5572637341042537e-09	2.7490585141620727e-08	False	True
anti-mouse CD137	CD4	ADT_activation	47	0.8012267351150513	1.0	2.3968314000200053e-09	2.7490585141620727e-08	True	False
anti-mouse CD134 (OX-40)	CD4	ADT_activation	47	0.7397613525390625	1.0	2.3968314000200053e-09	2.7490585141620727e-08	True	False
anti-mouse CD69	CD4	ADT_activation	47	0.596459150314331	1.0	2.3968314000200053e-09	2.7490585141620727e-08	True	False
anti-mouse CD71	CD4	ADT_activation	47	0.9251742362976074	1.0	2.3968314000200053e-09	2.7490585141620727e-08	True	False
anti-mouse CD36	CD4	ADT_activation	47	-0.16146644949913025	0.0	2.3968314000200053e-09	2.7490585141620727e-08	False	True
anti-mouse CD120b (TNF R Type II/p75)	CD4	ADT_activation	47	0.3954455554485321	1.0	2.3968314000200053e-09	2.7490585141620727e-08	False	True
anti-mouse CD31	CD4	ADT_activation	47	-0.35859039425849915	0.02127659574468085	2.5572637341042537e-09	2.7490585141620727e-08	False	True
anti-mouse CD55 (DAF)	CD4	ADT_activation	47	-0.43964827060699463	0.0425531914893617	2.910100160846696e-09	2.8599865666199623e-08	False	True
anti-mouse CD226 (DNAM-1)	CD4	ADT_activation	47	-0.586675763130188	0.0425531914893617	3.1038613901301915e-09	2.8599865666199623e-08	False	True
anti-mouse/human KLRG1 (MAFA)	CD4	ADT_activation	47	0.722830057144165	0.9361702127659575	3.763588996008593e-09	3.2366865365673905e-08	False	True
anti-mouse CD90.2	CD4	ADT_activation	47	-0.2978370189666748	0.0425531914893617	6.67025146228184e-09	5.3778902414647334e-08	False	True
anti-mouse CD26 (DPP-4)	CD4	ADT_activation	47	-0.1878657042980194	0.10638297872340426	8.056291633806723e-09	6.113303651535689e-08	False	True
anti-mouse TCR  chain	CD4	ADT_activation	47	-0.2116813361644745	0.10638297872340426	1.0346576040376476e-08	7.415046162269807e-08	False	True
Armenian Hamster IgG Isotype Ctrl	CD4	ADT_activation	47	-0.1717008352279663	0.0851063829787234	1.4110939083877838e-08	9.580584956948636e-08	False	True
anti-mouse CD93 (AA4.1, early B lineage)	CD4	ADT_activation	47	-0.20281195640563965	0.02127659574468085	1.5009515408337393e-08	9.681137438377619e-08	False	True
anti-mouse Ly-6C	CD4	ADT_activation	47	-0.19853508472442627	0.10638297872340426	2.0403598810503354e-08	1.25336392693092e-07	False	True
anti-human/mouse integrin 7	CD4	ADT_activation	47	0.3804895579814911	0.8936170212765957	2.9386834299316433e-08	1.648218097657313e-07	False	True
anti-mouse Tim-4	CD4	ADT_activation	47	-0.1706557273864746	0.0851063829787234	2.9386834299316433e-08	1.648218097657313e-07	False	True
anti-mouse CD127 (IL-7R)	CD4	ADT_activation	47	-0.2775160074234009	0.14893617021276595	3.315813756898933e-08	1.7822498943331766e-07	False	True
anti-mouse/rat CD29	CD4	ADT_activation	47	-0.20123255252838135	0.0851063829787234	3.5215776961194933e-08	1.8171340911976584e-07	False	True
anti-mouse CD19	CD4	ADT_activation	47	-0.1791844367980957	0.0851063829787234	3.970917461515455e-08	1.9701859712903604e-07	False	True
Mouse IgG2b,  isotype Ctrl	CD4	ADT_activation	47	-0.15185070037841797	0.06382978723404255	4.4756422568070775e-08	2.1383624115856037e-07	False	True
anti-mouse CD103	CD4	ADT_activation	47	0.4232003688812256	0.9361702127659575	5.042324602300141e-08	2.3230709774882795e-07	False	True
anti-human/mouse CD49f	CD4	ADT_activation	47	-0.17426541447639465	0.1276595744680851	5.351149212629025e-08	2.3803387876867042e-07	False	True
Mouse IgG1,  isotype Ctrl	CD4	ADT_activation	47	-0.11604011058807373	0.10638297872340426	6.02474869992875e-08	2.507072846099383e-07	False	True
anti-mouse CD371 (CLEC12A)	CD4	ADT_activation	47	-0.1395472288131714	0.10638297872340426	6.02474869992875e-08	2.507072846099383e-07	False	True
anti-mouse Ly-6A/E (Sca-1)	CD4	ADT_activation	47	0.390838623046875	0.8936170212765957	9.09226613998726e-08	3.665319787682364e-07	False	True
anti-mouse CD23	CD4	ADT_activation	47	-0.17533695697784424	0.0851063829787234	1.0828379970462265e-07	4.2329121702716127e-07	False	True
Rat IgG2b,  Isotype Ctrl	CD4	ADT_activation	47	-0.14667904376983643	0.06382978723404255	1.5313415246964723e-07	5.81008990252485e-07	False	True
anti-mouse CD51	CD4	ADT_activation	47	0.21405017375946045	0.851063829787234	3.201481888481794e-07	1.17997475318329e-06	False	True
anti-mouse CD11a	CD4	ADT_activation	47	-0.14626264572143555	0.1702127659574468	3.785573596815084e-07	1.356497205525405e-06	False	True
anti-mouse Ly49D	CD4	ADT_activation	47	-0.16548454761505127	0.10638297872340426	4.994473670194566e-07	1.7413164958245918e-06	False	True
anti-mouse CD45.2	CD4	ADT_activation	47	0.16096144914627075	0.8297872340425532	6.571602284566325e-07	2.2308860387080417e-06	False	True
anti-mouse CD2	CD4	ADT_activation	47	0.28094005584716797	0.8936170212765957	7.328478659474058e-07	2.424035248902958e-06	False	True
anti-mouse CD115 (CSF-1R)	CD4	ADT_activation	47	-0.1701831817626953	0.14893617021276595	1.0696338677007589e-06	3.4495692233349476e-06	False	True
anti-mouse CD22	CD4	ADT_activation	47	-0.15769684314727783	0.1702127659574468	1.3967752465759986e-06	4.290095400197709e-06	False	True
anti-mouse Ly-49A	CD4	ADT_activation	47	-0.14754819869995117	0.1276595744680851	1.3967752465759986e-06	4.290095400197709e-06	False	True
Rat IgG2c,  Isotype Ctrl	CD4	ADT_activation	47	-0.14145231246948242	0.10638297872340426	1.552939693283406e-06	4.658819079850218e-06	False	True
anti-mouse/rat CD61	CD4	ADT_activation	47	0.1993594467639923	0.8085106382978723	1.725817810438457e-06	5.0597840351491126e-06	False	True
anti-mouse VISTA (PD-1H)	CD4	ADT_activation	47	0.07482612133026123	0.8297872340425532	1.8190481796409586e-06	5.214604781637415e-06	False	True
Rat IgG1,  Isotype Ctrl	CD4	ADT_activation	47	-0.12591087818145752	0.10638297872340426	1.9171079657098744e-06	5.2618495229058255e-06	False	True
anti-mouse/rat CD81	CD4	ADT_activation	47	0.16558480262756348	0.8085106382978723	1.9171079657098744e-06	5.2618495229058255e-06	False	True
anti-mouse CD150 (SLAM)	CD4	ADT_activation	47	0.1456775665283203	0.851063829787234	2.020240344791091e-06	5.429395926626057e-06	False	True
anti-mouse CD45.1	CD4	ADT_activation	47	-0.1229943037033081	0.14893617021276595	2.3625932499271585e-06	6.21988835184905e-06	False	True
anti-mouse CD200R (OX2R)	CD4	ADT_activation	47	0.11953800916671753	0.8085106382978723	3.391430027477327e-06	8.749889470891503e-06	False	True
Mouse IgG2a,  isotype Ctrl	CD4	ADT_activation	47	-0.13488757610321045	0.1702127659574468	4.6038549044169486e-06	1.1421101589803584e-05	False	True
Rat IgG2a,  Isotype Ctrl	CD4	ADT_activation	47	-0.10353755950927734	0.10638297872340426	4.6038549044169486e-06	1.1421101589803584e-05	False	True
anti-mouse CD11c	CD4	ADT_activation	47	-0.11253905296325684	0.14893617021276595	5.093235358799575e-06	1.2167173357132317e-05	False	True
anti-mouse CD79b (Ig)	CD4	ADT_activation	47	-0.13187068700790405	0.2127659574468085	5.093235358799575e-06	1.2167173357132317e-05	False	True
anti-mouse CD38	CD4	ADT_activation	47	0.14037734270095825	0.7659574468085106	5.356228939490393e-06	1.2562791512622922e-05	False	True
anti-mouse CD200 (OX2)	CD4	ADT_activation	47	0.13527727127075195	0.851063829787234	7.5964449024468195e-06	1.7498953435993568e-05	False	True
anti-mouse CD21/CD35 (CR2/CR1)	CD4	ADT_activation	47	-0.14602738618850708	0.14893617021276595	8.809378414298408e-06	1.9937014306043765e-05	False	True
anti-mouse CD24	CD4	ADT_activation	47	-0.1522066593170166	0.1702127659574468	9.718561159388628e-06	2.1615420509674704e-05	False	True
anti-mouse CD45	CD4	ADT_activation	47	0.17266464233398438	0.8936170212765957	1.0716967153712176e-05	2.3041479380481178e-05	False	True
anti-mouse CD49b	CD4	ADT_activation	47	-0.17870399355888367	0.2127659574468085	1.0716967153712176e-05	2.3041479380481178e-05	False	True
anti-mouse TER-119/Erythroid Cells	CD4	ADT_activation	47	-0.13131284713745117	0.1702127659574468	1.2400129890011158e-05	2.6223225505105562e-05	False	True
anti-mouse CD3	CD4	ADT_activation	47	-0.0771334171295166	0.23404255319148937	1.301519569096854e-05	2.7080003937660346e-05	False	True
anti-mouse CD5	CD4	ADT_activation	47	0.2783639430999756	0.8085106382978723	1.7362850485369563e-05	3.5552503374804344e-05	False	True
anti-mouse CD63	CD4	ADT_activation	47	0.10625992715358734	0.8085106382978723	2.3073464035405777e-05	4.579195170103608e-05	False	True
anti-mouse CD270 (HVEM)	CD4	ADT_activation	47	-0.09963014721870422	0.2127659574468085	2.3073464035405777e-05	4.579195170103608e-05	False	True
anti-mouse IL-33R (IL1RL1, ST2)	CD4	ADT_activation	47	0.0956166684627533	0.7872340425531915	3.199403727194294e-05	6.253380012243393e-05	False	True
anti-mouse CD160	CD4	ADT_activation	47	-0.08035778999328613	0.2127659574468085	3.350904808030464e-05	6.451742093073579e-05	False	True
anti-mouse/human CD45R/B220	CD4	ADT_activation	47	-0.1519538164138794	0.1702127659574468	3.5092114558210596e-05	6.466975397155953e-05	False	True
anti-mouse CD200R3	CD4	ADT_activation	47	-0.09887245297431946	0.19148936170212766	3.5092114558210596e-05	6.466975397155953e-05	False	True
anti-mouse Ly108	CD4	ADT_activation	47	-0.10261370986700058	0.2978723404255319	3.5092114558210596e-05	6.466975397155953e-05	False	True
anti-mouse CD68	CD4	ADT_activation	47	-0.12097105383872986	0.1702127659574468	3.6745957913808525e-05	6.583650792890694e-05	False	True
anti-mouse CD94	CD4	ADT_activation	47	-0.20016741752624512	0.1702127659574468	3.6745957913808525e-05	6.583650792890694e-05	False	True
anti-mouse CD205 (DEC-205)	CD4	ADT_activation	47	-0.1090613603591919	0.2978723404255319	5.0572227337397635e-05	8.936736063731911e-05	False	True
Rat IgG1,  isotype Ctrl	CD4	ADT_activation	47	-0.11127591133117676	0.19148936170212766	5.2910349040757865e-05	9.100580035010352e-05	False	True
anti-mouse CD186 (CXCR6)	CD4	ADT_activation	47	-0.24805313348770142	0.19148936170212766	5.2910349040757865e-05	9.100580035010352e-05	False	True
anti-mouse JAML	CD4	ADT_activation	47	-0.1070636510848999	0.2127659574468085	5.78974504605867e-05	9.827330407125899e-05	False	True
anti-mouse CD301a	CD4	ADT_activation	47	-0.13212180137634277	0.2765957446808511	6.33275558357127e-05	0.00010609421691957063	False	True
anti-mouse CD102	CD4	ADT_activation	47	-0.11574789881706238	0.2127659574468085	7.238431862788275e-05	0.0001197125269614984	False	True
anti-mouse CD107a (LAMP-1)	CD4	ADT_activation	47	0.10860049724578857	0.7021276595744681	8.637704013381153e-05	0.00014104605287673023	False	True
anti-mouse CD4	CD4	ADT_activation	47	-0.17248868942260742	0.2127659574468085	9.02549727470614e-05	0.0001455361435546365	False	True
anti-mouse CD49a	CD4	ADT_activation	47	-0.13222485780715942	0.2553191489361702	0.00010289906640537083	0.00016387629094188688	False	True
anti-mouse CD366 (Tim-3)	CD4	ADT_activation	47	0.09283870458602905	0.8085106382978723	0.00011720221664290875	0.00018437909691384425	False	True
anti-mouse PIR-A/B	CD4	ADT_activation	47	-0.09730750322341919	0.2127659574468085	0.00017219193978235126	0.0002676236172520881	False	True
anti-mouse F4/80	CD4	ADT_activation	47	-0.07580682635307312	0.23404255319148937	0.0001873410801636055	0.00028101162024540827	False	True
anti-mouse TCR /	CD4	ADT_activation	47	-0.08437120914459229	0.2553191489361702	0.0001873410801636055	0.00028101162024540827	False	True
anti-mouse IgD	CD4	ADT_activation	47	-0.10501754283905029	0.2127659574468085	0.0001873410801636055	0.00028101162024540827	False	True
anti-mouse CD163	CD4	ADT_activation	47	-0.10203713178634644	0.23404255319148937	0.00019537733169272542	0.00028640540668592706	False	True
anti-mouse CD159a (NKG2AB6)	CD4	ADT_activation	47	-0.09618112444877625	0.2978723404255319	0.00019537733169272542	0.00028640540668592706	False	True
anti-mouse CD138 (Syndecan-1)	CD4	ADT_activation	47	-0.06337829679250717	0.19148936170212766	0.00023087523004505783	0.0003346393783799153	False	True
