lineage	contrast	stratum	level_a	level_b	n_a	n_b	included
CD4	relevant_vs_irrelevant	time_hours=0,checkpoint_blockade=False	relevant_peptide	irrelevant_peptide	0	0	False
CD4	relevant_vs_irrelevant	time_hours=12,checkpoint_blockade=False	relevant_peptide	irrelevant_peptide	6	6	True
CD4	relevant_vs_irrelevant	time_hours=48,checkpoint_blockade=False	relevant_peptide	irrelevant_peptide	6	6	True
CD4	relevant_vs_irrelevant	time_hours=12,checkpoint_blockade=True	relevant_peptide	irrelevant_peptide	6	3	True
CD4	relevant_vs_irrelevant	time_hours=48,checkpoint_blockade=True	relevant_peptide	irrelevant_peptide	2	3	True
CD4	48h_vs_12h	treatment=baseline,checkpoint_blockade=False	48	12	0	0	False
CD4	48h_vs_12h	treatment=relevant_peptide,checkpoint_blockade=False	48	12	6	6	True
CD4	48h_vs_12h	treatment=irrelevant_peptide,checkpoint_blockade=False	48	12	6	6	True
CD4	48h_vs_12h	treatment=relevant_peptide,checkpoint_blockade=True	48	12	2	6	True
CD4	48h_vs_12h	treatment=innate_agonist,checkpoint_blockade=True	48	12	2	1	False
CD4	48h_vs_12h	treatment=irrelevant_peptide,checkpoint_blockade=True	48	12	3	3	True
CD4	checkpoint_vs_no_checkpoint	treatment=baseline,time_hours=0	True	False	0	6	False
CD4	checkpoint_vs_no_checkpoint	treatment=relevant_peptide,time_hours=12	True	False	6	6	True
CD4	checkpoint_vs_no_checkpoint	treatment=relevant_peptide,time_hours=48	True	False	2	6	True
CD4	checkpoint_vs_no_checkpoint	treatment=irrelevant_peptide,time_hours=12	True	False	3	6	True
CD4	checkpoint_vs_no_checkpoint	treatment=irrelevant_peptide,time_hours=48	True	False	3	6	True
CD4	checkpoint_vs_no_checkpoint	treatment=innate_agonist,time_hours=48	True	False	2	0	False
CD4	checkpoint_vs_no_checkpoint	treatment=innate_agonist,time_hours=12	True	False	1	0	False
CD4	relevant_vs_innate	time_hours=0,checkpoint_blockade=False	relevant_peptide	innate_agonist	0	0	False
CD4	relevant_vs_innate	time_hours=12,checkpoint_blockade=False	relevant_peptide	innate_agonist	6	0	False
CD4	relevant_vs_innate	time_hours=48,checkpoint_blockade=False	relevant_peptide	innate_agonist	6	0	False
CD4	relevant_vs_innate	time_hours=12,checkpoint_blockade=True	relevant_peptide	innate_agonist	6	1	False
CD4	relevant_vs_innate	time_hours=48,checkpoint_blockade=True	relevant_peptide	innate_agonist	2	2	True
CD8	relevant_vs_irrelevant	time_hours=0,checkpoint_blockade=False	relevant_peptide	irrelevant_peptide	0	0	False
CD8	relevant_vs_irrelevant	time_hours=12,checkpoint_blockade=False	relevant_peptide	irrelevant_peptide	6	6	True
CD8	relevant_vs_irrelevant	time_hours=48,checkpoint_blockade=False	relevant_peptide	irrelevant_peptide	6	6	True
CD8	relevant_vs_irrelevant	time_hours=12,checkpoint_blockade=True	relevant_peptide	irrelevant_peptide	6	3	True
CD8	relevant_vs_irrelevant	time_hours=48,checkpoint_blockade=True	relevant_peptide	irrelevant_peptide	2	3	True
CD8	48h_vs_12h	treatment=baseline,checkpoint_blockade=False	48	12	0	0	False
CD8	48h_vs_12h	treatment=relevant_peptide,checkpoint_blockade=False	48	12	6	6	True
CD8	48h_vs_12h	treatment=irrelevant_peptide,checkpoint_blockade=False	48	12	6	6	True
CD8	48h_vs_12h	treatment=relevant_peptide,checkpoint_blockade=True	48	12	2	6	True
CD8	48h_vs_12h	treatment=innate_agonist,checkpoint_blockade=True	48	12	2	1	False
CD8	48h_vs_12h	treatment=irrelevant_peptide,checkpoint_blockade=True	48	12	3	3	True
CD8	checkpoint_vs_no_checkpoint	treatment=baseline,time_hours=0	True	False	0	6	False
CD8	checkpoint_vs_no_checkpoint	treatment=relevant_peptide,time_hours=12	True	False	6	6	True
CD8	checkpoint_vs_no_checkpoint	treatment=relevant_peptide,time_hours=48	True	False	2	6	True
CD8	checkpoint_vs_no_checkpoint	treatment=irrelevant_peptide,time_hours=12	True	False	3	6	True
CD8	checkpoint_vs_no_checkpoint	treatment=irrelevant_peptide,time_hours=48	True	False	3	6	True
CD8	checkpoint_vs_no_checkpoint	treatment=innate_agonist,time_hours=48	True	False	2	0	False
CD8	checkpoint_vs_no_checkpoint	treatment=innate_agonist,time_hours=12	True	False	1	0	False
CD8	relevant_vs_innate	time_hours=0,checkpoint_blockade=False	relevant_peptide	innate_agonist	0	0	False
CD8	relevant_vs_innate	time_hours=12,checkpoint_blockade=False	relevant_peptide	innate_agonist	6	0	False
CD8	relevant_vs_innate	time_hours=48,checkpoint_blockade=False	relevant_peptide	innate_agonist	6	0	False
CD8	relevant_vs_innate	time_hours=12,checkpoint_blockade=True	relevant_peptide	innate_agonist	6	1	False
CD8	relevant_vs_innate	time_hours=48,checkpoint_blockade=True	relevant_peptide	innate_agonist	2	2	True
