feature	lineage	contrast	level_a	level_b	effect_a_minus_b	pvalue	FDR	direction_consistency	n_a_total	n_b_total	n_strata	included_strata	design_strength
score_proliferation	CD4	48h_vs_12h	48	12	0.03934746441478779	0.0004952325691586598	0.003961860553269279	1.0	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_dysfunction	CD4	48h_vs_12h	48	12	0.07201897945782898	0.002555496979269318	0.010221987917077272	1.0	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_effector_cytokine	CD4	48h_vs_12h	48	12	0.0676135507753002	0.022277967107305584	0.035644747371688934	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_cytotoxicity	CD4	48h_vs_12h	48	12	0.06423080566702967	0.013549673822058605	0.035644747371688934	1.0	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_interferon_response	CD4	48h_vs_12h	48	12	-0.10851552699610847	0.019052595239833124	0.035644747371688934	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_activation_ADT	CD4	48h_vs_12h	48	12	0.10319921947507299	0.036269506846757595	0.04835934246234346	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_activation_immediate	CD4	48h_vs_12h	48	12	-0.01685217983099591	0.2944649220641141	0.3365313395018447	0.5	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_naive_memory	CD4	48h_vs_12h	48	12	0.005307236802203935	0.43763197652641905	0.43763197652641905	0.5	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_proliferation	CD8	48h_vs_12h	48	12	0.1657502940246383	0.00015532160433487602	0.0012425728346790081	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_dysfunction	CD8	48h_vs_12h	48	12	0.11839604159144299	0.0005875299284490437	0.002350119713796175	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_interferon_response	CD8	48h_vs_12h	48	12	-0.08659779729203496	0.0015353825127216532	0.004094353367257742	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_cytotoxicity	CD8	48h_vs_12h	48	12	-0.09859902982970557	0.004987306392562654	0.009974612785125308	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_activation_immediate	CD8	48h_vs_12h	48	12	-0.09712221088280198	0.008173243938670536	0.013077190301872857	1.0	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_naive_memory	CD8	48h_vs_12h	48	12	-0.016617901104520078	0.12492683017363525	0.16656910689818033	0.75	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_activation_ADT	CD8	48h_vs_12h	48	12	-0.007283481351720098	0.7326709281800499	0.8373382036343427	0.5	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_effector_cytokine	CD8	48h_vs_12h	48	12	0.01051795474559187	0.963258283558064	0.963258283558064	0.5	17	21	4	treatment=relevant_peptide,checkpoint_blockade=False;treatment=irrelevant_peptide,checkpoint_blockade=False;treatment=relevant_peptide,checkpoint_blockade=True;treatment=irrelevant_peptide,checkpoint_blockade=True	supported
score_activation_immediate	CD4	checkpoint_vs_no_checkpoint	True	False	0.08150426078332723	0.0033638615895871596	0.013455446358348638	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_cytotoxicity	CD4	checkpoint_vs_no_checkpoint	True	False	0.05579724291461647	0.003315936337126583	0.013455446358348638	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_naive_memory	CD4	checkpoint_vs_no_checkpoint	True	False	-0.05388532076553409	0.03681831024422814	0.09818216065127504	1.0	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_activation_ADT	CD4	checkpoint_vs_no_checkpoint	True	False	0.008032381798636115	0.21297717131775895	0.29518931670037024	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_effector_cytokine	CD4	checkpoint_vs_no_checkpoint	True	False	0.03950254990477742	0.1811836669855169	0.29518931670037024	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_proliferation	CD4	checkpoint_vs_no_checkpoint	True	False	0.0067692639208774075	0.2501774361741197	0.29518931670037024	0.5	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_dysfunction	CD4	checkpoint_vs_no_checkpoint	True	False	-0.055940677046467234	0.258290652112824	0.29518931670037024	1.0	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_interferon_response	CD4	checkpoint_vs_no_checkpoint	True	False	0.0029669213145694442	0.6931279961074022	0.6931279961074022	0.5	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_effector_cytokine	CD8	checkpoint_vs_no_checkpoint	True	False	0.19550991982888552	0.0002025994477197501	0.001620795581758001	1.0	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_dysfunction	CD8	checkpoint_vs_no_checkpoint	True	False	-0.15463368807642908	0.0025482807895022253	0.010193123158008901	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_proliferation	CD8	checkpoint_vs_no_checkpoint	True	False	-0.0922629437676659	0.011965607178602245	0.03190828580960599	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_cytotoxicity	CD8	checkpoint_vs_no_checkpoint	True	False	0.06672773533521768	0.01712577209312516	0.03425154418625032	1.0	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_naive_memory	CD8	checkpoint_vs_no_checkpoint	True	False	0.10477386266593411	0.02751343333395271	0.036684577778603615	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_interferon_response	CD8	checkpoint_vs_no_checkpoint	True	False	0.03749159772475629	0.02659482971023446	0.036684577778603615	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_activation_ADT	CD8	checkpoint_vs_no_checkpoint	True	False	-0.1455770883338612	0.048832423928529704	0.055808484489748234	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_activation_immediate	CD8	checkpoint_vs_no_checkpoint	True	False	0.049626581761206885	0.20719499665398367	0.20719499665398367	0.75	14	24	4	treatment=relevant_peptide,time_hours=12;treatment=relevant_peptide,time_hours=48;treatment=irrelevant_peptide,time_hours=12;treatment=irrelevant_peptide,time_hours=48	supported
score_interferon_response	CD4	relevant_vs_innate	relevant_peptide	innate_agonist	-0.17938262907096314	0.036028719074628464	0.2882297525970277	1.0	2	2	1	time_hours=48,checkpoint_blockade=True	fragile
score_cytotoxicity	CD4	relevant_vs_innate	relevant_peptide	innate_agonist	-0.11675401250521344	0.074114242276246	0.296456969104984	1.0	2	2	1	time_hours=48,checkpoint_blockade=True	fragile
score_proliferation	CD4	relevant_vs_innate	relevant_peptide	innate_agonist	-0.04056390066339513	0.20262028772469287	0.5403207672658477	1.0	2	2	1	time_hours=48,checkpoint_blockade=True	fragile
score_activation_ADT	CD4	relevant_vs_innate	relevant_peptide	innate_agonist	0.09155690829344093	0.33745109958447117	0.6749021991689423	1.0	2	2	1	time_hours=48,checkpoint_blockade=True	fragile
