source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank
T_cell	Tgfb1	Itgb8	CD4	47	0.4717292406914561	0.18253558522014898	0.13933857539315447	0.8928779136389008	0.49028677150786315	0.0681333722380128	0.6891265	0.0051899204345096	3.683282	5.056158660183512e-07	True	C — correlational	0.3148126734505088	0.7287347500000001	0.29344057833754256	0.75	0.5010562388751867	Tier 2 — single-modality source support	2
T_cell	Adam9	Itgav	CD4	47	0.209148317461603	0.5743048897411314	0.15356151711378355	0.8792060047906409	0.5417437557816837	0.024278597941840806	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	True	C — correlational	0.3476526364477336	0.5185069999999999	0.34657596771751076	0.75	0.47062036630020887	Tier 2 — single-modality source support	2
T_cell	Lamc1	Itgav_Itgb8	CD4	47	0.3356727852328798	0.18253558522014898	0.332099907493062	0.5325071712252106	0.5211609620721555	0.03453992140782381	0.6891265	0.0051899204345096	1.8817091	5.056158660183512e-07	True	C — correlational	0.42663043478260876	0.4284725999999999	0.24753227727906738	0.75	0.4559452576297265	Tier 2 — single-modality source support	2
T_cell	Cd80	Ctla4	CD4	47	0.13125844185318908	0.7368537502765691	0.039546716003700286	0.9768512995899417	0.7106845513413507	0.00012639037783949023	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	True	C — correlational	0.3751156336725255	0.24138832	0.31099561915721796	0.75	0.4038366756168275	Tier 2 — single-modality source support	2
T_cell	Timp2	Itga3	CD4	47	0.09519629873753102	0.06150896083781991	0.37280296022201664	0.4349679379109198	0.5105226641998151	0.04444515639494513	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05	True	C — correlational	0.44166281221091586	0.32075528333333336	0.0765207515054067	0.75	0.40007495540823523	Tier 2 — single-modality source support	2
T_cell	Adam9	Itga3	CD4	47	0.209148317461603	0.06150896083781991	0.15356151711378355	0.8792060047906409	0.5417437557816837	0.024278597941840806	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05	True	C — correlational	0.3476526364477336	0.32075528333333336	0.11342176011701487	0.75	0.3745515956134431	Tier 2 — single-modality source support	2
T_cell	Cd200	Cd200r1	CD4	47	0.0721347018167593	0.17213658824397082	0.05064754856614247	0.9657953045265132	0.5260175763182239	0.03453992140782381	0.7418599	0.0177037961403789	0.56252146	0.0343447436730957	True	C — correlational	0.2883325624421832	0.21739689333333334	0.11143168967907248	0.75	0.32755195812391197	Tier 2 — single-modality source support	2
fibroblast	Il15	Il2ra	CD4	34	0.19562743118903161	0.4436905376502692	0.6678380443086326	0.046085914963686324	-0.33567608861726506	0.48924163014713423	2.1923113	1.9767398454773044e-06	2.582612	5.056158660183512e-07	False	C — correlational	0.3339190221543163	0.7958205500000001	0.29461507110703367	0.75	0.5247498094754175	Tier 3 — exploratory	3
neutrophil	Vegfa	Itgav	CD4	19	0.2761779637633229	0.5743048897411314	-0.22807017543859648	0.89272256556299	0.7263157894736841	0.06705326336733893	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	False	C — correlational	0.36315789473684207	0.5185069999999999	0.39825915561104847	0.75	0.48638384428010445	Tier 3 — exploratory	3
neutrophil	Icam1	Il2ra	CD4	19	0.43616577528896844	0.4436905376502692	0.2719298245614035	0.8563921895281335	0.28596491228070176	0.732279565218814	2.1923113	1.9767398454773044e-06	2.582612	5.056158660183512e-07	True	C — correlational	0.2789473684210526	0.7958205500000001	0.4399120677392346	0.5	0.4845691299952154	Tier 3 — exploratory	3
T_cell	Vim	Cd44	CD4	47	0.7878166464633306	0.7128106792536324	0.40518038852913973	0.3783039802031702	0.5419750231267345	0.024278597941840806	0.9703646	1.9767398454773044e-06	-0.07839012	0.3301218053312729	False	C — correlational	0.4735777058279371	0.16172743333333334	0.7493758195277223	0.5	0.4560592192786558	Tier 3 — exploratory	3
T_cell	Lgals1	Cd69	CD4	47	0.8265680319999157	0.6489416623644813	0.3567298797409805	0.4945569779490295	0.24167437557816834	0.607839740886105	1.9274054	1.9767398454773044e-06	-1.0030642	5.056158660183512e-07	False	C — correlational	0.29920212765957444	0.32123423333333334	0.732389536205538	0.5	0.43150721025529204	Tier 3 — exploratory	3
neutrophil	Lamb3	Itgav_Itgb8	CD4	19	0.3163959346397426	0.18253558522014898	-0.3596491228070175	0.7621623264028842	0.7070175438596492	0.0914430238730272	0.6891265	0.0051899204345096	1.8817091	5.056158660183512e-07	False	C — correlational	0.3535087719298246	0.4284725999999999	0.24031961445279787	0.75	0.4289101430659982	Tier 3 — exploratory	3
neutrophil	Tgfb1	Itgb8	CD4	19	0.2725894805057312	0.18253558522014898	0.08070175438596491	0.9657953045265132	0.4333333333333333	0.5214994848270562	0.6891265	0.0051899204345096	3.683282	5.056158660183512e-07	True	C — correlational	0.2570175438596491	0.7287347500000001	0.2230633998417715	0.5	0.41675250781923145	Tier 3 — exploratory	3
neutrophil	Vegfa	Itgav	CD8	19	0.2761779637633229	0.47088801121161916	-0.5368421052631579	0.36798233093524524	0.7017543859649124	0.08853094464010566	0.72924757	0.0002047553241208	0.9842701	0.0001382533409225	False	C — correlational	0.3508771929824562	0.28558627833333333	0.3606229223121926	0.75	0.41632817158963153	Tier 3 — exploratory	3
fibroblast	Lgals1	Cd69	CD8	34	0.952172391156198	0.7205164139805493	0.40106951871657753	0.3759647036735458	-0.31336898395721924	0.5639412367007802	1.9068255	1.5142373072636011e-05	-0.67057323	0.0001101337737488	False	C — correlational	0.20053475935828877	0.31780425	0.8282848765775871	0.5	0.41529520359091854	Tier 3 — exploratory	3
fibroblast	Tnfsf12	Tnfrsf8	CD4	34	0.48800306613688277	0.08982963345379454	0.3659281894576012	0.574564995959852	-0.4093200916730328	0.3087825630051692	1.0535593	0.0127863749654505	3.9547806	5.056158660183512e-07	False	C — correlational	0.1829640947288006	0.8347233166666667	0.20937319922904182	0.5	0.4145929021675553	Tier 3 — exploratory	3
