candidate_rank	source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank	liana_magnitude_rank	liana_specificity_rank	liana_component	final_discovery_score	mechanistic_chain	causality	necessity_test	sufficiency_test	score_definition
1	T_cell	Adam9	Itgav	CD4	47	0.209148317461603	0.5743048897411314	0.1535615171137835	0.8792060047906409	0.5417437557816837	0.0242785979418408	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	True	C — correlational	0.3476526364477336	0.5185069999999999	0.3465759677175107	0.75	0.4706203663002088	Tier 2 — single-modality source support	2	0.3870544205113131	1.0	0.6129455794886869	0.49908540893790443	T_cell → Adam9 → Itgav → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
2	T_cell	Cd80	Ctla4	CD4	47	0.131258441853189	0.7368537502765691	0.0395467160037002	0.9768512995899415	0.7106845513413507	0.0001263903778394	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	True	C — correlational	0.3751156336725255	0.24138832	0.3109956191572179	0.75	0.4038366756168275	Tier 2 — single-modality source support	2	0.4293464844233007	0.3974441072266862	0.5706535155766993	0.4372000436088019	T_cell → Cd80 → Ctla4 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
3	T_cell	Tgfb1	Itgb8	CD4	47	0.4717292406914561	0.1825355852201489	0.1393385753931544	0.8928779136389008	0.4902867715078631	0.0681333722380128	0.6891265	0.0051899204345096	3.683282	5.056158660183512e-07	True	C — correlational	0.3148126734505088	0.7287347500000001	0.2934405783375425	0.75	0.5010562388751867	Tier 2 — single-modality source support	2			0.0	0.4008449911001494	T_cell → Tgfb1 → Itgb8 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
4	T_cell	Lamc1	Itgav_Itgb8	CD4	47	0.3356727852328798	0.1825355852201489	0.332099907493062	0.5325071712252106	0.5211609620721555	0.0345399214078238	0.6891265	0.0051899204345096	1.8817091	5.056158660183512e-07	True	C — correlational	0.4266304347826087	0.4284725999999999	0.2475322772790673	0.75	0.4559452576297265	Tier 2 — single-modality source support	2			0.0	0.36475620610378123	T_cell → Lamc1 → Itgav_Itgb8 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
5	T_cell	Timp2	Itga3	CD4	47	0.095196298737531	0.0615089608378199	0.3728029602220166	0.4349679379109198	0.5105226641998151	0.0444451563949451	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05	True	C — correlational	0.4416628122109158	0.3207552833333333	0.0765207515054067	0.75	0.4000749554082352	Tier 2 — single-modality source support	2			0.0	0.3200599643265882	T_cell → Timp2 → Itga3 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
6	T_cell	Adam9	Itga3	CD4	47	0.209148317461603	0.0615089608378199	0.1535615171137835	0.8792060047906409	0.5417437557816837	0.0242785979418408	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05	True	C — correlational	0.3476526364477336	0.3207552833333333	0.1134217601170148	0.75	0.3745515956134431	Tier 2 — single-modality source support	2			0.0	0.2996412764907545	T_cell → Adam9 → Itga3 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
7	T_cell	Cd200	Cd200r1	CD4	47	0.0721347018167593	0.1721365882439708	0.0506475485661424	0.9657953045265132	0.5260175763182239	0.0345399214078238	0.7418599	0.0177037961403789	0.56252146	0.0343447436730957	True	C — correlational	0.2883325624421832	0.2173968933333333	0.1114316896790724	0.75	0.3275519581239119	Tier 2 — single-modality source support	2			0.0	0.2620415664991295	T_cell → Cd200 → Cd200r1 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
8	B_cell	Cd86	Ctla4	CD4	34	0.8666061103817495	0.7368537502765691	0.3142857142857143	0.669639629507233	-0.2333078686019862	0.7056416991555745	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	False	C — correlational	0.1571428571428571	0.24138832	0.7991007210905159	0.5	0.3751672242181032	Tier 3 — exploratory	3	0.0046647915266598	0.0698889198916733	0.9953352084733402	0.49920082106915065	B_cell → Cd86 → Ctla4 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in B_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
9	monocyte_macrophage	Cd86	Ctla4	CD4	45	0.906234608430417	0.7368537502765691	0.0725955204216073	0.9487076838571756	-0.0902503293807641	0.8998337148341948	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	False	C — correlational	0.0362977602108036	0.24138832	0.8171672838852342	0.5	0.3364847528508281	Tier 3 — exploratory	3	0.0030314905898468	0.0599271675786152	0.9969685094101532	0.4685815041626931	monocyte_macrophage → Cd86 → Ctla4 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in monocyte_macrophage and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
10	dendritic	Cd86	Ctla4	CD4	38	0.8724459065107399	0.7368537502765691	0.0965200262639527	0.9437639593342682	0.0004377325454147	1.0	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	True	C — correlational	0.0484788794046837	0.24138832	0.8017886492872544	0.5	0.3376724176490902	Tier 3 — exploratory	3	0.0122264723437936	0.0874267002502295	0.9877735276562064	0.46769263965051344	dendritic → Cd86 → Ctla4 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in dendritic and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)
