candidate_rank	evidence_tier	mechanistic_chain	final_discovery_score	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	liana_magnitude_rank	causality	necessity_test	sufficiency_test
1	Tier 2 — single-modality source support	T_cell → Adam9 → Itgav → CD4 activation-associated program	0.49908540893790443	0.1535615171137835	0.8792060047906409	0.5417437557816837	0.0242785979418408	1.2293329	2.0869773052331223e-06	1.8817091	5.056158660183512e-07	0.3870544205113131	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
2	Tier 2 — single-modality source support	T_cell → Cd80 → Ctla4 → CD4 activation-associated program	0.4372000436088019	0.0395467160037002	0.9768512995899415	0.7106845513413507	0.0001263903778394	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	0.4293464844233007	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
3	Tier 2 — single-modality source support	T_cell → Tgfb1 → Itgb8 → CD4 activation-associated program	0.4008449911001494	0.1393385753931544	0.8928779136389008	0.4902867715078631	0.0681333722380128	0.6891265	0.0051899204345096	3.683282	5.056158660183512e-07		CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
4	Tier 2 — single-modality source support	T_cell → Lamc1 → Itgav_Itgb8 → CD4 activation-associated program	0.36475620610378123	0.332099907493062	0.5325071712252106	0.5211609620721555	0.0345399214078238	0.6891265	0.0051899204345096	1.8817091	5.056158660183512e-07		CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
5	Tier 2 — single-modality source support	T_cell → Timp2 → Itga3 → CD4 activation-associated program	0.3200599643265882	0.3728029602220166	0.4349679379109198	0.5105226641998151	0.0444451563949451	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05		CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
6	Tier 2 — single-modality source support	T_cell → Adam9 → Itga3 → CD4 activation-associated program	0.2996412764907545	0.1535615171137835	0.8792060047906409	0.5417437557816837	0.0242785979418408	0.8977821	0.0257278570387628	1.0267496	6.386277766181647e-05		CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
7	Tier 2 — single-modality source support	T_cell → Cd200 → Cd200r1 → CD4 activation-associated program	0.2620415664991295	0.0506475485661424	0.9657953045265132	0.5260175763182239	0.0345399214078238	0.7418599	0.0177037961403789	0.56252146	0.0343447436730957		CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
8	Tier 3 — exploratory	B_cell → Cd86 → Ctla4 → CD4 activation-associated program	0.49920082106915065	0.3142857142857143	0.669639629507233	-0.2333078686019862	0.7056416991555745	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	0.0046647915266598	CORRELATIONAL	Perturb ligand in B_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
9	Tier 3 — exploratory	monocyte_macrophage → Cd86 → Ctla4 → CD4 activation-associated program	0.4685815041626931	0.0725955204216073	0.9487076838571756	-0.0902503293807641	0.8998337148341948	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	0.0030314905898468	CORRELATIONAL	Perturb ligand in monocyte_macrophage and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
10	Tier 3 — exploratory	dendritic → Cd86 → Ctla4 → CD4 activation-associated program	0.46769263965051344	0.0965200262639527	0.9437639593342682	0.0004377325454147	1.0	0.36460972	0.0022377769720125	1.0837202	5.056158660183512e-07	0.0122264723437936	CORRELATIONAL	Perturb ligand in dendritic and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
11	Tier 3 — exploratory	neutrophil → Ccl4 → Ccr5 → CD4 activation-associated program	0.43654303847246007	0.0385964912280701	0.9870245061358616	0.5614035087719299	0.2934349600570708	0.021607399	1.0	1.143784	8.27869417362524e-07	0.0093506402950722	CORRELATIONAL	Perturb ligand in neutrophil and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
12	Tier 3 — exploratory	neutrophil → Tnf → Tnfrsf1b → CD4 activation-associated program	0.39343809613534364	-0.1105263157894737	0.9521869461613908	0.2719298245614035	0.7489733288517907	0.5799675	3.723431351424163e-05	0.102199554	0.2852026026470796	0.0368105543221846	CORRELATIONAL	Perturb ligand in neutrophil and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
13	Tier 3 — exploratory	neutrophil → Tnf → Icos → CD4 activation-associated program	0.35819531090148715	-0.1105263157894737	0.9521869461613908	0.2719298245614035	0.7489733288517907	0.11554718	0.3178133150436099	0.029699326	0.9832034048587917	0.0102588974179314	CORRELATIONAL	Perturb ligand in neutrophil and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
14	Tier 3 — exploratory	NK → Ccl5 → Ccr5 → CD4 activation-associated program	0.3569647500409744	0.0072485653881002	0.9950489726400542	-0.3565388100271821	0.3272996147263283	0.021607399	1.0	1.143784	8.27869417362524e-07	0.019834673582779	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control
