candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
T_cell → Vim → Cd44 → CD4	extracellular	cell-cell / extracellular signal	0.55398916124566	0.0242785979418408	False	True	False	True	True	False	False	True	ADT-supported	1.55398916124566
T_cell → Lgals1 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.5418665860909337	0.4945569779490295	False	False	False	True	True	False	False	True	interaction-supported	1.5418665860909337
fibroblast → Lgals1 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.5316852624499981	0.3759647036735458	False	False	False	True	True	False	False	True	interaction-supported	1.5316852624499981
neutrophil → Icam1 → Il2ra → CD4	extracellular	cell-cell / extracellular signal	0.5177180052524917	0.732279565218814	False	False	False	True	True	False	True	True	interaction-supported	1.5177180052524917
NK → Lgals1 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.5126319010819137	0.5423389545011166	False	False	False	True	True	False	False	True	interaction-supported	1.5126319010819138
melanoma → Lgals1 → Cd69 → CD4	extracellular	cell-cell / extracellular signal	0.5052206957091969	0.574564995959852	False	False	False	True	True	False	False	True	interaction-supported	1.505220695709197
neutrophil → S100a8 → Cd69 → CD8	extracellular	cell-cell / extracellular signal	0.5039760633384007	0.8173349432731329	False	False	False	True	True	False	False	True	interaction-supported	1.5039760633384007
B_cell → Cd86 → Ctla4 → CD4	extracellular	cell-cell / extracellular signal	0.4992008210691506	0.669639629507233	False	False	False	True	True	False	False	True	interaction-supported	1.4992008210691505
T_cell → Adam9 → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4990854089379044	0.0242785979418408	False	True	False	True	True	False	True	True	ADT-supported	1.4990854089379044
fibroblast → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4900985959907875	0.2950181624705364	False	False	False	True	True	False	False	True	interaction-supported	1.4900985959907875
T_cell → Pkm → Cd44 → CD8	extracellular	cell-cell / extracellular signal	0.4828625014947049	0.0394332468179697	True	True	False	True	True	False	False	True	RNA+ADT-supported	1.4828625014947048
fibroblast → Nid1 → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.4810880563346749	0.9657953045265132	False	False	False	True	True	False	True	True	interaction-supported	1.4810880563346749
T_cell → Lgals1 → Itgb1 → CD4	extracellular	cell-cell / extracellular signal	0.4786871872845172	0.4945569779490295	False	False	False	True	True	False	False	True	interaction-supported	1.478687187284517
B_cell → Calr → Itgav → CD4	extracellular	cell-cell / extracellular signal	0.478379087989887	0.7047114608458159	False	False	False	True	True	False	False	True	interaction-supported	1.478379087989887
