candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
Stat4	intrinsic	inferred transcription-factor activity	0.6320756352928133	3.934714292939858e-06	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	7.037162432398094
Atf6	intrinsic	inferred transcription-factor activity	0.3574314450022513	3.934714292939858e-06	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	6.762518242107531
E2f4	intrinsic	inferred transcription-factor activity	1.4135144645543425	0.0052827759002884	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	4.690652276606836
Fli1	intrinsic	inferred transcription-factor activity	-0.5558803089557954	0.0004328440776583	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	4.363668520292737
Foxm1	intrinsic	inferred transcription-factor activity	0.8811886320351334	0.014219479417557	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	3.7283049350943314
Irf1	intrinsic	inferred transcription-factor activity	-0.6106920661857678	0.0021909878323556	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.659360034285709
Foxl2	intrinsic	inferred transcription-factor activity	-0.2545624745449515	0.0023938359948939	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.620905607042575
Stat6	intrinsic	inferred transcription-factor activity	-0.3245140577068172	0.0034614574488197	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	3.460741002737042
E2f3	intrinsic	inferred transcription-factor activity	0.5454669447284368	0.014219479417557	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.392583247787635
Usf1	intrinsic	inferred transcription-factor activity	0.368312119065413	0.009687530351918	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	3.38209904286461
Nfkb2	intrinsic	inferred transcription-factor activity	-0.5906905524243	0.0049454278787366	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.305796127254833
Stat5b	intrinsic	inferred transcription-factor activity	-0.5257689380988256	0.0053761706335998	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.2695269557178475
Atf2	intrinsic	inferred transcription-factor activity	-0.4648494213708968	0.0056052232566211	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.2514070847304497
Foxa2	intrinsic	inferred transcription-factor activity	-0.4287530659394006	0.0056800887681079	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	3.2456448771062014
Pknox1	intrinsic	inferred transcription-factor activity	0.1617888004789929	0.009687530351918	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	3.1755757242781897
E2f1	intrinsic	inferred transcription-factor activity	0.8159868664184815	0.0477558070287255	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.1369606777826458
Tfdp1	intrinsic	inferred transcription-factor activity	0.8198466993691725	0.0516059495279375	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	3.1071469260713287
E2f2	intrinsic	inferred transcription-factor activity	0.6219652633170581	0.0367746235833875	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	3.0564170272334485
Zc3h8	intrinsic	inferred transcription-factor activity	0.2202646064904151	0.019420653287745	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.932000771521379
Nfyb	intrinsic	inferred transcription-factor activity	0.3306893670657665	0.0254499654458018	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.9250021700475193
Cux1	intrinsic	inferred transcription-factor activity	0.3185062457077121	0.0254603261878827	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.9126422823409763
Yy1	intrinsic	inferred transcription-factor activity	0.1876112455818903	0.020219010549708	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.881851346716429
Irf3	intrinsic	inferred transcription-factor activity	0.3271702611387981	0.028284912570063	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.875615420484073
Otx2	intrinsic	inferred transcription-factor activity	0.2603500651376964	0.027282379427855	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.824467820585678
Nr2c2	intrinsic	inferred transcription-factor activity	0.3334769610579997	0.0326315217710523	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.8198396334742304
Tead2	intrinsic	inferred transcription-factor activity	0.2292569316355794	0.0258778013155362	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.8163295575173573
Hif1a	intrinsic	inferred transcription-factor activity	-0.4451971391916456	0.0173172425561924	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.761521260007342
Mafb	intrinsic	inferred transcription-factor activity	-0.4638080686442298	0.0173172425561924	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.761521260007342
Atf4	intrinsic	inferred transcription-factor activity	0.4847018057842618	0.0629068682143646	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.6860037411854227
Jund	intrinsic	inferred transcription-factor activity	0.4077663179753935	0.0528830805151327	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.6844495724857644
Relb	intrinsic	inferred transcription-factor activity	-0.3122097639092132	0.0230736841945169	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.6368830557778464
Foxp2	intrinsic	inferred transcription-factor activity	-0.1326018758897147	0.0239818276217627	True	False	False	False	False	False	0.75	True	RNA-supported (inferred activity)	2.6201177229969117
Mbd1	intrinsic	inferred transcription-factor activity	-0.1745076204366196	0.0239818276217627	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.6201177229969117
Maff	intrinsic	inferred transcription-factor activity	-0.5019388435962573	0.0258778013155362	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.587072625881778
Fosl2	intrinsic	inferred transcription-factor activity	-0.293335674947854	0.0258778013155362	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.587072625881778
Snai1	intrinsic	inferred transcription-factor activity	0.3049088872145333	0.0528830805151327	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.5815921417249044
Lyl1	intrinsic	inferred transcription-factor activity	-0.3787098089224004	0.0263681058088158	True	False	False	False	False	False	1.0	True	RNA-supported (inferred activity)	2.5789210672610183
