candidate	candidate_type	mechanism_class	effect_size	FDR	RNA_evidence	ADT_evidence	data_driven_state_evidence	cell_source_evidence	receptor_evidence	pathway_evidence	treatment_consistency	novelty_indicator	evidence_class	score
T_cell → Adam9 → Itgav → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4990854089379044	0.0242785979418408	False	True	False	True	True	False	True	True	ADT-supported	1.4990854089379044
dendritic → Cd86 → Ctla4 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4676926396505134	0.9437639593342682	False	False	False	True	True	False	True	True	interaction-supported	1.4676926396505134
T_cell → Itgav → Thy1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4505927861433177	0.0036866912484448	False	True	False	True	True	False	True	True	ADT-supported	1.4505927861433177
T_cell → Cd80 → Ctla4 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4372000436088019	0.0001263903778394	False	True	False	True	True	False	True	True	ADT-supported	1.437200043608802
monocyte_macrophage → Vegfa → Itgav → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4269801629016797	0.183033105160308	False	False	False	True	True	False	True	True	interaction-supported	1.4269801629016796
NK → Adam9 → Itgav → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4146993688943353	0.2106149212334387	False	False	False	True	True	False	True	True	interaction-supported	1.4146993688943352
NK → B2m → Tfrc → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.4060465784700864	0.8172766852801584	False	False	False	True	True	False	True	True	interaction-supported	1.4060465784700864
dendritic → Edil3 → Itgav → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4054161297567847	0.4155456018703186	False	False	False	True	True	False	True	True	interaction-supported	1.4054161297567846
monocyte_macrophage → Thbs1 → Ptprj → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4031219898500494	0.3855464858877909	False	False	False	True	True	False	True	True	interaction-supported	1.4031219898500493
T_cell → Tgfb1 → Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.4008449911001494	0.0681333722380128	False	True	False	True	True	False	True	True	ADT-supported	1.4008449911001493
T_cell → S100a4 → Ccr5 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3853888038407164	0.426783278971916	False	False	False	True	True	False	True	True	interaction-supported	1.3853888038407165
dendritic → Gnai2 → Ccr5 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3817133000475468	0.7831784293334705	False	False	False	True	True	False	True	True	interaction-supported	1.3817133000475468
NK → Cd48 → Cd2 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3748107130837479	0.8295655818423254	False	False	False	True	True	False	True	True	interaction-supported	1.374810713083748
T_cell → Lamc1 → Itgav_Itgb8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3647562061037812	0.0345399214078238	False	True	False	True	True	False	True	True	ADT-supported	1.3647562061037812
NK → Itgb2 → Thy1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3633708828554144	0.4716363175004776	False	False	False	True	True	False	True	True	interaction-supported	1.3633708828554143
monocyte_macrophage → Adam9 → Itgav → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.3381108062843529	0.7249286781109255	False	False	False	True	True	False	True	True	interaction-supported	1.338110806284353
T_cell → B2m → Tfrc → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3378674818832432	0.8834635572544426	False	False	False	True	True	False	True	True	interaction-supported	1.3378674818832432
T_cell → Gnai2 → Ccr5 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3372419161427839	0.5135976740474483	False	False	False	True	True	False	True	True	interaction-supported	1.337241916142784
dendritic → H2-Aa → Lag3 → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.3316148425169145	0.935899978124726	False	False	False	True	True	False	True	True	interaction-supported	1.3316148425169145
monocyte_macrophage → Ltf → Il1rl1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3234654633086482	0.3079736222176381	False	False	False	False	True	False	True	True	interaction-supported	1.3234654633086482
T_cell → Timp2 → Itga3 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3200599643265882	0.0444451563949451	False	True	False	False	False	False	True	True	ADT-supported	1.3200599643265882
melanoma → Gstp2 → Traf2 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3196807910060536	0.3203709536139159	False	False	False	True	True	False	True	True	interaction-supported	1.3196807910060535
monocyte_macrophage → Tnfsf12 → Tnfrsf8 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3181980770038282	0.5822965329699646	False	False	False	True	False	False	True	True	interaction-supported	1.3181980770038282
melanoma → Hapln1 → Il1rl1 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3180870392829911	0.7272365186224934	False	False	False	True	True	False	True	True	interaction-supported	1.318087039282991
melanoma → Cd86 → Ctla4 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.315112438525677	0.8034656296097599	False	False	False	True	True	False	True	True	interaction-supported	1.315112438525677
T_cell → Icam1 → Il2ra → CD8	multicellular	source-cell ↔ T-cell program / feedback	0.3081368599578488	0.5879041139820904	False	False	False	True	True	False	True	True	interaction-supported	1.3081368599578487
T_cell → Il15 → Il2ra → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3052029985090195	0.6531160285058807	False	False	False	False	True	False	True	True	interaction-supported	1.3052029985090194
dendritic → S100a4 → Ccr5 → CD4	multicellular	source-cell ↔ T-cell program / feedback	0.3044270555751926	0.732279565218814	False	False	False	True	True	False	True	True	interaction-supported	1.3044270555751927
