candidate	candidate_family_id	n_mice_supporting	n_mice_opposing	direction_consistency	expected_direction	mouse_effect_median	mouse_effect_mean	mouse_effect_IQR	mouse_effect_sign	LOOCV_runs	LOOCV_failed_runs	LOOCV_top1_runs	LOOCV_top3_runs	LOOCV_top10_runs	LOOCV_top1_fraction	LOOCV_top10_fraction	LOOCV_top3_fraction	LOOCV_rank_median	LOOCV_rank_mean	LOOCV_rank_min	LOOCV_rank_max	LOOCV_rank_IQR	LOOCV_score_median	LOOCV_score_min	LOOCV_score_max	LOOCV_failure_reason	n_positive	n_negative	n_zero_or_undetermined	n_mice_effects	majority_direction	majority_direction_fraction	two_sided_direction_strength	n_mice
fibroblast → Col6a2 → Cd44 → CD8	LR|fibroblast|Col6a2	0	0		UNRESOLVED	0.0004783697629477	0.0038264224288178	0.0120419028621714	positive	34	0	0	0	0	0.0	0.0	0.0	154.5	152.5	141.0	162.0	12.0	0.5956380045260242	0.5956380045260242	0.6006885095765292		21	12	1	34	positive	0.6176470588235294	0.2352941176470588	34
fibroblast → Col1a2 → Cd44 → CD4	LR|fibroblast|Col1a2	0	0		UNRESOLVED	-0.0002713336159071	0.0008366960525162	0.0145857734761214	negative	34	0	0	0	0	0.0	0.0	0.0	183.0	181.7058823529412	169.0	191.0	12.0	0.5831174953881689	0.5831174953881689	0.588168000438674		15	18	1	34	negative	0.5294117647058824	0.0588235294117647	34
fibroblast → Fbn1 → Itgb1 → CD4	LR|fibroblast|Fbn1	0	0		UNRESOLVED	0.0001043997507665	-2.048209627027826e-05	0.0077146033404413	positive	34	0	0	0	0	0.0	0.0	0.0	267.0	266.97058823529414	261.0	269.0	0.0	0.5129086746957009	0.5129086746957009	0.5129086746957009		17	16	1	34	positive	0.5	0.0	34
neutrophil → Vegfa → Itgav → CD4	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.000242226230205	-0.0016588001961757	0.0053680858972628	negative	19	0	0	0	0	0.0	0.0	0.0	126.0	120.21052631578948	106.0	133.0	18.0	0.6023724266003456	0.6023724266003456	0.6116316858596049		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
fibroblast → Lama4 → Cd44 → CD4	LR|fibroblast|Lama4	0	0		UNRESOLVED	0.0005360807587998	0.0022681037465214	0.005190225195854	positive	34	0	0	0	0	0.0	0.0	0.0	237.0	236.7058823529412	232.0	243.0	5.5	0.5223482635868578	0.5223482635868578	0.5273987686373629		20	13	1	34	positive	0.5882352941176471	0.1764705882352941	34
neutrophil → Vegfa → Itgb1 → CD4	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.000242226230205	-0.0016588001961757	0.0053680858972628	negative	19	0	0	0	0	0.0	0.0	0.0	126.0	120.21052631578948	106.0	133.0	18.0	0.6023724266003456	0.6023724266003456	0.6116316858596049		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
fibroblast → Hspg2 → Itgb1 → CD8	LR|fibroblast|Hspg2	0	0		UNRESOLVED	0.0010059183603885	0.0031799097331306	0.0050184152796808	positive	34	0	0	0	0	0.0	0.0	0.0	127.5	127.70588235294116	111.0	142.0	14.0	0.603538526151005	0.603538526151005	0.60858903120151		23	10	1	34	positive	0.6764705882352942	0.3529411764705883	34
fibroblast → Il15 → Il2ra → CD4	LR|fibroblast|Il15	0	0		UNRESOLVED	0.0006760824115788	0.0013619053277768	0.0015537671203812	positive	34	0	0	0	0	0.0	0.0	0.0	79.0	78.8529411764706	77.0	80.0	0.0	0.6323490527608838	0.6323490527608838	0.6373995578113888		25	8	1	34	positive	0.7352941176470589	0.4705882352941177	34
fibroblast → Hspg2 → Itgb1 → CD4	LR|fibroblast|Hspg2	0	0		UNRESOLVED	-0.0002224279538684	0.0007214179984103	0.0049998030813852	negative	34	0	0	0	0	0.0	0.0	0.0	164.0	163.14705882352942	154.0	172.0	9.75	0.5914735847509426	0.5914735847509426	0.5965240898014476		13	20	1	34	negative	0.5882352941176471	0.1764705882352941	34
neutrophil → Vegfa → Itgb1 → CD8	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.0007307604362535	-0.0083300980599826	0.0133281820814547	negative	19	0	0	0	0	0.0	0.0	0.0	132.0	126.52631578947368	110.0	139.0	16.0	0.6013668001072618	0.6013668001072618	0.6106260593665211		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
neutrophil → Lamb3 → Cd44 → CD4	LR|neutrophil|Lamb3	0	0		UNRESOLVED	0.0	-0.0013682921629309	0.0027895622287522	undetermined	19	0	0	0	0	0.0	0.0	0.0	198.0	197.52631578947367	197.0	198.0	1.0	0.5753237451746552	0.5753237451746552	0.5753237451746552		9	9	1	19	balanced	0.4736842105263157	0.0526315789473684	19
neutrophil → Vegfa → Cd44 → CD4	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.000242226230205	-0.0016588001961757	0.0053680858972628	negative	19	0	0	0	0	0.0	0.0	0.0	126.0	120.21052631578948	106.0	133.0	18.0	0.6023724266003456	0.6023724266003456	0.6116316858596049		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
neutrophil → Vegfa → Itgav → CD8	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.0007307604362535	-0.0083300980599826	0.0133281820814547	negative	19	0	0	0	0	0.0	0.0	0.0	132.0	126.52631578947368	110.0	139.0	16.0	0.6013668001072618	0.6013668001072618	0.6106260593665211		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
neutrophil → Vegfa → Cd44 → CD8	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.0007307604362535	-0.0083300980599826	0.0133281820814547	negative	19	0	0	0	0	0.0	0.0	0.0	132.0	126.52631578947368	110.0	139.0	16.0	0.6013668001072618	0.6013668001072618	0.6106260593665211		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
fibroblast → Col1a2 → Itgb3 → CD4	LR|fibroblast|Col1a2	0	0		UNRESOLVED	-0.0002713336159071	0.0008366960525162	0.0145857734761214	negative	34	0	0	0	0	0.0	0.0	0.0	183.0	181.7058823529412	169.0	191.0	12.0	0.5831174953881689	0.5831174953881689	0.588168000438674		15	18	1	34	negative	0.5294117647058824	0.0588235294117647	34
neutrophil → Vegfa → Nrp1 → CD4	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.000242226230205	-0.0016588001961757	0.0053680858972628	negative	19	0	0	0	0	0.0	0.0	0.0	126.0	120.21052631578948	106.0	133.0	18.0	0.6023724266003456	0.6023724266003456	0.6116316858596049		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
neutrophil → Arf6 → Smap1 → CD8	LR|neutrophil|Arf6	0	0		UNRESOLVED	0.0002521130983183	0.0026676570398216	0.0033376203520084	positive	19	0	0	0	0	0.0	0.0	0.0	233.0	231.0	224.0	237.0	8.5	0.5269795320056075	0.5269795320056075	0.5362387912648668		12	6	1	19	positive	0.631578947368421	0.263157894736842	19
fibroblast → Il15 → Il15ra_Il2rb_Il2rg → CD4	LR|fibroblast|Il15	0	0		UNRESOLVED	0.0006760824115788	0.0013619053277768	0.0015537671203812	positive	34	0	0	0	0	0.0	0.0	0.0	79.0	78.8529411764706	77.0	80.0	0.0	0.6323490527608838	0.6323490527608838	0.6373995578113888		25	8	1	34	positive	0.7352941176470589	0.4705882352941177	34
neutrophil → Lamb3 → Itgav_Itgb8 → CD4	LR|neutrophil|Lamb3	0	0		UNRESOLVED	0.0	-0.0013682921629309	0.0027895622287522	undetermined	19	0	0	0	0	0.0	0.0	0.0	198.0	197.52631578947367	197.0	198.0	1.0	0.5753237451746552	0.5753237451746552	0.5753237451746552		9	9	1	19	balanced	0.4736842105263157	0.0526315789473684	19
neutrophil → Vegfa → Itgb3 → CD8	LR|neutrophil|Vegfa	0	0		UNRESOLVED	-0.0007307604362535	-0.0083300980599826	0.0133281820814547	negative	19	0	0	0	0	0.0	0.0	0.0	132.0	126.52631578947368	110.0	139.0	16.0	0.6013668001072618	0.6013668001072618	0.6106260593665211		7	11	1	19	negative	0.5789473684210527	0.1578947368421053	19
