candidate	removed_mouse	n_mice_remaining	n_supporting_remaining	n_opposing_remaining	direction_consistency_remaining	median_effect_remaining	fold_pre_robustness_score	fold_score	fold_rank	n_competing_candidates	eligible_after_removal	failure_reason
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1a:A0307	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1a:A0309	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1a:A0310	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1a:A0311	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1b:A0307	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1b:A0310	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_1b:A0311	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2a:A0307	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2a:A0308	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2a:A0309	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2a:A0310	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2a:A0312	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2b:A0307	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2b:A0308	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2b:A0309	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2b:A0310	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_2b:A0312	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_3a:A0307	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_3a:A0308	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_3a:A0310	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_3a:A0311	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_3b:A0307	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_3b:A0311	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_6a:A0308	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_6b:A0307	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_053_6b:A0308	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_A:A0312	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_B:A0311	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_C:A0311	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_C:A0312	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_C:A0313	33	0	0		0.00045223484732381087	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_D:A0311	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_D:A0312	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col6a2 → Cd44 → CD8	Masopust_054_D:A0313	33	0	0		0.0005045046785717021	0.5779612368492565	0.5779612368492565	163.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1a:A0307	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1a:A0309	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1a:A0310	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1a:A0311	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1b:A0307	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1b:A0310	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_1b:A0311	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2a:A0307	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2a:A0308	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2a:A0309	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2a:A0310	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2a:A0312	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2b:A0307	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2b:A0308	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2b:A0309	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2b:A0310	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_2b:A0312	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_3a:A0307	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_3a:A0308	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_3a:A0310	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_3a:A0311	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_3b:A0307	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_3b:A0311	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_6a:A0308	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_6b:A0307	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_053_6b:A0308	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_A:A0312	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_B:A0311	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_C:A0311	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_C:A0312	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_C:A0313	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_D:A0311	33	0	0		-0.0003426083242523466	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_D:A0312	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Col1a2 → Cd44 → CD4	Masopust_054_D:A0313	33	0	0		-0.0002000589075618901	0.5805922428629164	0.5805922428629164	152.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1a:A0307	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1a:A0309	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1a:A0310	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1a:A0311	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1b:A0307	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1b:A0310	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_1b:A0311	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2a:A0307	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2a:A0308	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2a:A0309	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2a:A0310	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2a:A0312	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2b:A0307	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2b:A0308	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2b:A0309	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2b:A0310	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_2b:A0312	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_3a:A0307	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_3a:A0308	33	0	0		0.00020879950153309488	0.5103834221704483	0.5103834221704483	243.0	279	True	
fibroblast → Fbn1 → Itgb1 → CD4	Masopust_053_3a:A0310	33	0	0		0.0	0.5103834221704483	0.5103834221704483	243.0	279	True	
