candidate	candidate_family_id	null_test_type	expected_direction	observed_statistic	observed_score	null_mean	null_sd	null_p95	null_p99	empirical_p	null_percentile	null_p95	null_p99	n_unique_null_scores	fraction_identical_to_observed	n_permutations	random_seed	null_status	null_model_type	empirical_FDR
fibroblast → Col6a2 → Cd44 → CD8	LR|fibroblast|Col6a2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5975690799865113	0.5975690799865113	0.5866426093982763	0.008420191800073147	0.6024710407708251	0.6122749623394526	0.15984015984015984	0.924	0.6024710407708251	0.6122749623394526	10	0.083	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.3228354379433516
fibroblast → Col1a2 → Cd44 → CD4	LR|fibroblast|Col1a2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5854942036472301	0.5854942036472301	0.5894794977648773	0.00826969792017147	0.6051020467844851	0.6149059683531125	0.7322677322677322	0.506	0.6051020467844851	0.6149059683531125	9	0.238	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.8594877925421859
fibroblast → Fbn1 → Itgb1 → CD4	LR|fibroblast|Fbn1	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5103834221704483	0.5103834221704483	0.5193196966802521	0.008523875541581204	0.534893226092017	0.5446971476606444	1.0	0.279	0.534893226092017	0.5446971476606444	10	0.279	1000	17	FAIL	within-candidate mouse-effect sign permutation	1.0
neutrophil → Vegfa → Itgav → CD4	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6062710620779285	0.6062710620779285	0.6053149217270514	0.01012813794380191	0.6238149217270513	0.6325868515516127	0.4825174825174825	0.744	0.6238149217270513	0.6325868515516127	7	0.226	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Lama4 → Cd44 → CD4	LR|fibroblast|Lama4	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5244278833135364	0.5244278833135364	0.5182318048821638	0.008339536330354657	0.5342318048821638	0.5440357264507912	0.2857142857142857	0.836	0.5342318048821638	0.5440357264507912	10	0.121	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.49511978704525283
neutrophil → Vegfa → Itgb1 → CD4	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6062710620779285	0.6062710620779285	0.6053850971656477	0.010081229796686741	0.6238149217270513	0.6413587813761741	0.4955044955044955	0.744	0.6238149217270513	0.6413587813761741	7	0.239	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
fibroblast → Hspg2 → Itgb1 → CD8	LR|fibroblast|Hspg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6051725130791096	0.6051725130791096	0.5847558464124429	0.008361795396962864	0.6002705522947959	0.6100744738634233	0.03396603396603397	0.987	0.6002705522947959	0.6100744738634233	9	0.02	1000	17	PASS	within-candidate mouse-effect sign permutation	0.08694058235342639
fibroblast → Il15 → Il2ra → CD4	LR|fibroblast|Il15	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6336859511566058	0.6336859511566058	0.6032251668428803	0.00828156353004154	0.6189800688036645	0.6287839903722919	0.004995004995004995	1.0	0.6189800688036645	0.6287839903722919	9	0.004	1000	17	PASS	within-candidate mouse-effect sign permutation	0.017866748635979406
fibroblast → Hspg2 → Itgb1 → CD4	LR|fibroblast|Hspg2	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.5935532044776212	0.5935532044776212	0.5872639887913467	0.008076954402866852	0.6033571260462486	0.6082590868305623	0.28471528471528473	0.854	0.6033571260462486	0.6082590868305623	9	0.138	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.49511978704525283
neutrophil → Vegfa → Itgb1 → CD8	LR|neutrophil|Vegfa	TWO_SIDED_SIGN_NULL	UNRESOLVED	0.6052654355848447	0.6052654355848447	0.6041426285673008	0.010053779671740593	0.6228092952339676	0.6403531548830903	0.4775224775224775	0.749	0.6228092952339676	0.6403531548830903	7	0.226	1000	17	FAIL	within-candidate mouse-effect sign permutation	0.6772792424966337
