candidate	statistical_status	biological_status	mechanistic_status	experimental_status	LOOCV_status	null_status	external_evidence_status	phase2_decision	decision_reason
NK → Tnfsf4 → Tnfrsf4 → CD8	PASS	PASS	HOLD	PASS	PASS	PASS	NOT_ASSESSED	HOLD	HOLD: molecular axis valid but RNA/ADT direction is discordant
Atf3	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Bcl2l1	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Bcl2l1	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Birc3	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Birc3	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Cpm	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dusp1	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Dusp1	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Furin	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gadd45b	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gm12840	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Gata3	FAIL	PASS	PASS	PASS	PASS	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
NK → Tnfsf4 → Traf2 → CD8	PASS	FAIL	HOLD	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
T_cell → Pkm → Cd44 → CD8	PASS	FAIL	HOLD	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
fibroblast → Il15 → Il15ra_Il2rb_Il2rg → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
fibroblast → Il15 → Il2ra → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → Itga4_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → Ptger4 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → Itgav_Itgb3 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → Cd44 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → Itgav_Itgb1 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
NK → Spp1 → S1pr1 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
monocyte_macrophage → Cd80 → Cd28 → CD8	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Lamc1 → Cd44 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Lamc1 → Itga9_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Lamc1 → Itgav_Itgb8 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Lamc1 → Itga2_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
Dusp2	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
Eif2ak3	FAIL	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	REJECT	critical biological or statistical gate failed
T_cell → Lamc1 → Itga3_Itgb1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
T_cell → Lamc1 → Itga1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
neutrophil → Pdcd1lg2 → Pdcd1 → CD4	PASS	PASS	PASS	PASS	FAIL	PASS	NOT_ASSESSED	HOLD	plausible but one or more robustness/mechanistic gates remain incomplete
