source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank	liana_magnitude_rank	liana_specificity_rank	liana_component	final_discovery_score	mechanistic_chain	causality	necessity_test	sufficiency_test	score_definition	early_effect	early_FDR	late_effector_count	late_effector_positive	late_effector_significant_positive	late_effector_best_FDR	temporal_support	temporal_causality_label	candidate	candidate_type	mechanism_class	source	target	effect_size	FDR	direction_consistency	n_mice_supporting	n_mice_opposing	effective_sample_size	RNA_evidence	ADT_evidence	data_driven_state_evidence	interaction_evidence	independence_from_curated_score	power_flag	gene	lineage	cross_modal_score	RNA_FDR	ADT_FDR	data_driven_FDR	data_driven_log2FC	used_in_curated_score	associated_with_data_driven_state	independent_candidate	TF	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	n_strata	n_cells	interaction_validity	valid_for_mechanistic_ranking	biological_reinterpretation	direction_mechanistically_concordant	known_activation_gene	mechanistically_supported	potentially_novel_hypothesis	external_perturbation_support	external_dataset_count	external_direction_consistency	external_effect	external_FDR	external_context	literature_novelty_status	candidate_family_id	candidate_family_label	entity_type	mechanism_level	effect_component	statistical_component	independence_component	multilayer_component	temporal_component	RNA_component	ADT_component	state_component	interaction_component	mechanistic_coherence	mechanistic_family_id	family_rule	family_evidence	family_confidence	n_mice_true	n_mice_supporting_true	n_mice_opposing_true	direction_consistency_true	mouse_effect_median	mouse_effect_mean	mouse_effect_IQR	mouse_effect_sign	LOOCV_top10_fraction	LOOCV_rank_median	LOOCV_rank_min	LOOCV_rank_max	empirical_p	empirical_FDR	null_percentile	null_model_type	LOOCV_stability	stability_component	null_model_component	external_perturbation_support_verified	external_perturbation_component	external_assessed	suggested_perturbation	expected_readout	negative_control	specificity_control	source_signal_step	receptor_step	tcell_state_step	transcriptional_program_step	effector_response_step	myeloid_response_step	tumor_killing_step	mechanistic_evidence_coherence	biological_validity_component	experimental_testability_component	evidence_score	score_contribution_replication_component	score_contribution_effect_component	score_contribution_statistical_component	score_contribution_RNA_component	score_contribution_ADT_component	score_contribution_state_component	score_contribution_temporal_component	score_contribution_interaction_component	score_contribution_stability_component	score_contribution_null_model_component	score_contribution_biological_validity_component	score_contribution_mechanistic_evidence_coherence	score_contribution_independence_component	score_contribution_experimental_testability_component	score_contribution_external_perturbation_component	evidence_gate	causality_tier	causality_label	why_test	missing_evidence
fibroblast	Il15	Il15ra_Il2rb_Il2rg	CD4	34	0.1956274311890316	0.0845195073382993	0.6678380443086326	0.0460859149636863	-0.335676088617265	0.4892416301471342	0.12693882	0.0473632243080281	0.06991768	0.2536243574767507	False	RNA-supported	0.3339190221543163	0.0328094166666666	0.1285859016609286	1.0	0.250791192252863	Tier 3 — exploratory	3.0	0.2845771711860886	1.0	0.7154228288139114	0.3437175195650727	fibroblast → Il15 → Il15ra_Il2rb_Il2rg → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)			9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Il15 → Il15ra_Il2rb_Il2rg → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.3437175195650727	0.0460859149636863	0.7352941176470589	25.0	9.0	34	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Il15	LR|fibroblast|Il15	ligand_receptor	ligand	1.0	0.13364317858515096	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Il15|Il15ra_Il2rb_Il2rg	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	25.0	9.0	0.7352941176470589	0.0006760824115788	0.0013619053277768	0.0015537671203812	positive	0.0	76.0	76.0	76.0	0.0019980019980019	0.0086163836163836	1.0	within-candidate mouse-effect sign permutation	0.0	0.0	0.9980019980019981		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6216481248582657	0.07142857142857142	0.07142857142857142	0.009545941327510783	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07128585700014271	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
fibroblast	Il15	Il2ra	CD4	34	0.1956274311890316	0.4436905376502692	0.6678380443086326	0.0460859149636863	-0.335676088617265	0.4892416301471342	2.1923113	1.9767398454773044e-06	2.582612	5.056158660183512e-07	False	RNA-supported	0.3339190221543163	0.7958205500000001	0.2946150711070336	1.0	0.5247498094754175	Tier 3 — exploratory	3.0	1.0	0.4964715352705999	0.0	0.419799847580334	fibroblast → Il15 → Il2ra → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	1.2098088588253066	0.7448947530985198	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Il15 → Il2ra → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.419799847580334	0.0460859149636863	0.7352941176470589	25.0	9.0	34	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Il15	LR|fibroblast|Il15	ligand_receptor	ligand	1.0	0.13364317858515096	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Il15|Il2ra	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	25.0	9.0	0.7352941176470589	0.0006760824115788	0.0013619053277768	0.0015537671203812	positive	0.0	77.0	77.0	77.0	0.0049950049950049	0.0174509035268528	0.999	within-candidate mouse-effect sign permutation	0.0	0.0	0.9950049950049951		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6214340532156227	0.07142857142857142	0.07142857142857142	0.009545941327510783	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07107178535749965	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
neutrophil	Pdcd1lg2	Pdcd1	CD4	19	0.2267366865816974	0.2493546721734641	-0.4771929824561403	0.5844638489261795	0.8122807017543859	0.013897006842561	-0.32968807	0.2360668306059618	-0.11419964	1.0	False	ADT-supported	0.4061403508771929	0.0	0.2377768957495169	1.0	0.2397045019569209	Tier 3 — exploratory	3.0	0.5633682135233642	0.1336273631370977	0.4366317864766358	0.2790899588608639	neutrophil → Pdcd1lg2 → Pdcd1 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in neutrophil and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-0.6072105824285758	0.7448947530985198	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	neutrophil → Pdcd1lg2 → Pdcd1 → CD4	extracellular	cell-cell / extracellular signal	neutrophil	CD4	0.2790899588608639	0.013897006842561	0.6842105263157895	13.0	6.0	19	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|neutrophil|Pdcd1lg2	LR|neutrophil|Pdcd1lg2	ligand_receptor	ligand	1.0	0.18570787286478915	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Pdcd1lg2|Pdcd1	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	19.0	13.0	6.0	0.6842105263157895	-0.000282555967993	-0.0021012127233551	0.0028099116971062	negative	0.0	85.0	85.0	87.0	0.0939060939060939	0.1963491054400145	0.972	within-candidate mouse-effect sign permutation	0.0	0.0	0.906093906093906		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6137001270684782	0.07142857142857142	0.07142857142857142	0.013264848061770654	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.06472099329242186	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
neutrophil	Ccl25	Ccr10	CD4	19	0.0153243872318924	0.0140865845563832	-0.189974276058391	0.9180246099346518	0.7264757038158842	0.0670532633673389	0.11996305	0.0452295325317914	0.0	0.3849353383998698	False	ADT-supported	0.3632378519079421	0.0199938416666666	0.014692456449376	1.0	0.2350701998743216	Tier 3 — exploratory	3.0			0.0	0.1880561598994573	neutrophil → Ccl25 → Ccr10 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in neutrophil and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-0.6124423295017708	0.9962071533220476	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	neutrophil → Ccl25 → Ccr10 → CD4	extracellular	cell-cell / extracellular signal	neutrophil	CD4	0.1880561598994573	0.0670532633673389	0.6842105263157895	13.0	6.0	19	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|neutrophil|Ccl25	LR|neutrophil|Ccl25	ligand_receptor	ligand	0.9887409776623568	0.11735800809303647	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Ccl25|Ccr10	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	19.0	13.0	6.0	0.6842105263157895	-0.0003274697437863	-0.0002001934662473	0.0008245167638971	negative	0.0	97.0	94.0	98.0	0.0919080919080919	0.1936384226460562	0.969	within-candidate mouse-effect sign permutation	0.0	0.0	0.9080919080919081		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6081564924176643	0.07142857142857142	0.0706243555473112	0.00838271486378832	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.06486370772085058	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
fibroblast	Ccl11	Ccr5	CD4	34	0.4917875104089056	0.3145512205914891	0.33414820473644	0.6315142013982823	-0.5676088617265087	0.0681333722380128	0.021607399	1.0	1.143784	8.27869417362524e-07	False	ADT-supported	0.16707410236822	0.1942318998333333	0.3933094985768471	1.0	0.2856958105025797	Tier 3 — exploratory	3.0	0.9850763540728036	0.0874267002502295	0.0149236459271964	0.231541377587503	fibroblast → Ccl11 → Ccr5 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.1995003047171537	0.9935047965062082	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Ccl11 → Ccr5 → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.231541377587503	0.0681333722380128	0.6176470588235294	21.0	13.0	34	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Ccl11	LR|fibroblast|Ccl11	ligand_receptor	ligand	1.0	0.11666401152714279	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Ccl11|Ccr5	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	21.0	13.0	0.6176470588235294	0.0005430243442201	0.0029377126017354	0.0075330282132211	positive	0.0	107.0	107.0	108.0	0.1518481518481518	0.2930775518188105	0.928	within-candidate mouse-effect sign permutation	0.0	0.0	0.8481518481518482		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6046297042627851	0.07142857142857142	0.07142857142857142	0.0083331436805102	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.06058227486798916	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
neutrophil	Pdcd1lg2	Rgmb	CD4	19	0.2267366865816974	0.0282469208643705	-0.4771929824561403	0.5844638489261795	0.8122807017543859	0.013897006842561	0.0	0.8455198014544371	-0.111329794	1.0	False	ADT-supported	0.4061403508771929	0.0	0.0800288275743359	1.0	0.2081548883218847	Tier 3 — exploratory	3.0			0.0	0.1665239106575077	neutrophil → Pdcd1lg2 → Rgmb → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in neutrophil and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.6480410555783135	0.8598859378520367	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	neutrophil → Pdcd1lg2 → Rgmb → CD4	extracellular	cell-cell / extracellular signal	neutrophil	CD4	0.1665239106575077	0.013897006842561	0.6842105263157895	13.0	6.0	19	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|neutrophil|Pdcd1lg2	LR|neutrophil|Pdcd1lg2	ligand_receptor	ligand	0.8755310877117314	0.18570787286478915	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Pdcd1lg2|Rgmb	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	19.0	13.0	6.0	0.6842105263157895	-0.000282555967993	-0.0021012127233551	0.0028099116971062	negative	0.0	98.0	96.0	99.0	0.1048951048951049	0.2097902097902098	0.962	within-candidate mouse-effect sign permutation	0.0	0.0	0.8951048951048951		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6040245611201012	0.07142857142857142	0.06253793483655225	0.013264848061770654	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.06393606393606394	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
fibroblast	Ccl11	Ccr3	CD4	34	0.4917875104089056	0.0316395014381591	0.33414820473644	0.6315142013982823	-0.5676088617265087	0.0681333722380128	1.1916358	0.0003480663739111	0.7998078	0.0544333111487331	False	ADT-supported	0.16707410236822	0.3319072666666666	0.1247393748695707	1.0	0.2664006274694578	Tier 3 — exploratory	3.0			0.0	0.2131205019755662	fibroblast → Ccl11 → Ccr3 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-1.503146413675461	0.7448947530985198	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Ccl11 → Ccr3 → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.2131205019755662	0.0681333722380128	0.6176470588235294	21.0	13.0	34	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Ccl11	LR|fibroblast|Ccl11	ligand_receptor	ligand	1.0	0.11666401152714279	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Ccl11|Ccr3	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	21.0	13.0	0.6176470588235294	0.0005430243442201	0.0029377126017354	0.0075330282132211	positive	0.0	105.0	104.0	106.0	0.1678321678321678	0.3138177611861822	0.915	within-candidate mouse-effect sign permutation	0.0	0.0	0.8321678321678322		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6034879888353554	0.07142857142857142	0.07142857142857142	0.0083331436805102	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.05944055944055944	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
fibroblast	Ccl11	Dpp4	CD4	34	0.4917875104089056	0.1680064901541411	0.33414820473644	0.6315142013982823	-0.5676088617265087	0.0681333722380128	-0.5285325	0.0653175806574582	-1.5391016	4.326852134367842e-05	False	ADT-supported	0.16707410236822	0.0	0.2874430265729948	1.0	0.2159645411434759	Tier 3 — exploratory	3.0	0.5668378507588014	0.0569462095723258	0.4331621492411985	0.2594040627630204	fibroblast → Ccl11 → Dpp4 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.3617899386072509	0.9287736512559706	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Ccl11 → Dpp4 → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.2594040627630204	0.0681333722380128	0.6176470588235294	21.0	13.0	34	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Ccl11	LR|fibroblast|Ccl11	ligand_receptor	ligand	1.0	0.11666401152714279	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Ccl11|Dpp4	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	21.0	13.0	0.6176470588235294	0.0005430243442201	0.0029377126017354	0.0075330282132211	positive	0.0	109.0	108.0	116.0	0.1708291708291708	0.3138177611861822	0.925	within-candidate mouse-effect sign permutation	0.0	0.0	0.8291708291708292		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6032739171927124	0.07142857142857142	0.07142857142857142	0.0083331436805102	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.05922648779791637	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
fibroblast	Ccl11	Ccr2	CD4	34	0.4917875104089056	0.4642672763478134	0.33414820473644	0.6315142013982823	-0.5676088617265087	0.0681333722380128	0.54284763	0.0007041352440217	0.71051407	0.0003262745216705	False	ADT-supported	0.16707410236822	0.2088936166666667	0.4778293084349416	1.0	0.356265201682532	Tier 3 — exploratory	3.0	1.0	0.0874267002502295	0.0	0.2850121613460256	fibroblast → Ccl11 → Ccr2 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-0.3424617236930611	0.9501502916117124	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Ccl11 → Ccr2 → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.2850121613460256	0.0681333722380128	0.6176470588235294	21.0	13.0	34	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Ccl11	LR|fibroblast|Ccl11	ligand_receptor	ligand	1.0	0.11666401152714279	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Ccl11|Ccr2	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	21.0	13.0	0.6176470588235294	0.0005430243442201	0.0029377126017354	0.0075330282132211	positive	0.0	104.0	102.0	105.0	0.1728271728271728	0.3138177611861822	0.92	within-candidate mouse-effect sign permutation	0.0	0.0	0.8271728271728271		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6031312027642836	0.07142857142857142	0.07142857142857142	0.0083331436805102	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.059083773369487655	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
fibroblast	Ccl11	Cxcr3	CD4	34	0.4917875104089056	0.3087985839663691	0.33414820473644	0.6315142013982823	-0.5676088617265087	0.0681333722380128	-0.25284767	0.0108098645510067	-0.7540574	1.4777777323999814e-06	False	ADT-supported	0.16707410236822	0.0	0.3896964034047737	1.0	0.2864152165098317	Tier 3 — exploratory	3.0	0.7189478364148844	0.024590864328601	0.2810521635851156	0.2853426059248885	fibroblast → Ccl11 → Cxcr3 → CD4 activation-associated program	CORRELATIONAL	Perturb ligand in fibroblast and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-0.7232304184283227	0.7448947530985198	9.0	4.0	0.0	0.8592006085325994	False	ordered cross-sectional support only	fibroblast → Ccl11 → Cxcr3 → CD4	extracellular	cell-cell / extracellular signal	fibroblast	CD4	0.2853426059248885	0.0681333722380128	0.6176470588235294	21.0	13.0	34	False	True	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	LR|fibroblast|Ccl11	LR|fibroblast|Ccl11	ligand_receptor	ligand	1.0	0.11666401152714279	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.5	AXIS|Ccl11|Cxcr3	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	34.0	21.0	13.0	0.6176470588235294	0.0005430243442201	0.0029377126017354	0.0075330282132211	positive	0.0	106.0	106.0	107.0	0.1768231768231768	0.3189751425045543	0.916	within-candidate mouse-effect sign permutation	0.0	0.0	0.8231768231768232		0.0	False	source-cell ligand knockdown plus T-cell receptor CRISPRi and ligand rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5	1.0	1.0	0.6028457739074261	0.07142857142857142	0.07142857142857142	0.0083331436805102	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.058798344512630225	0.07142857142857142	0.03571428571428571	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	temporal/spatial/perturbational evidence missing
