source_cell_type	ligand	receptor	target_lineage	n_mice	source_detection_fraction	target_receptor_detection_fraction	ligand_rho_RNA	ligand_FDR_RNA	ligand_rho_ADT	ligand_FDR_ADT	receptor_log2FC_RNA_selector	receptor_FDR_RNA_selector	receptor_log2FC_ADT_selector	receptor_FDR_ADT_selector	cross_modal_positive_direction	evidence_class	association_component	receptor_component	expression_component	replication_component	interaction_score	evidence_tier	tier_rank	liana_magnitude_rank	liana_specificity_rank	liana_component	final_discovery_score	mechanistic_chain	causality	necessity_test	sufficiency_test	score_definition	early_effect	early_FDR	late_effector_count	late_effector_positive	late_effector_significant_positive	late_effector_best_FDR	temporal_support	temporal_causality_label	candidate	candidate_type	mechanism_class	source	target	effect_size	FDR	direction_consistency	n_mice_supporting	n_mice_opposing	effective_sample_size	RNA_evidence	ADT_evidence	data_driven_state_evidence	interaction_evidence	independence_from_curated_score	power_flag	gene	lineage	cross_modal_score	RNA_FDR	ADT_FDR	data_driven_FDR	data_driven_log2FC	used_in_curated_score	associated_with_data_driven_state	independent_candidate	TF	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	n_strata	n_cells	interaction_validity	valid_for_mechanistic_ranking	biological_reinterpretation	direction_mechanistically_concordant	known_activation_gene	mechanistically_supported	potentially_novel_hypothesis	external_perturbation_support	external_dataset_count	external_direction_consistency	external_effect	external_FDR	external_context	literature_novelty_status	candidate_family_id	candidate_family_label	entity_type	mechanism_level	effect_component	statistical_component	independence_component	multilayer_component	temporal_component	RNA_component	ADT_component	state_component	interaction_component	mechanistic_coherence	mechanistic_family_id	family_rule	family_evidence	family_confidence	n_mice_true	n_mice_supporting_true	n_mice_opposing_true	direction_consistency_true	mouse_effect_median	mouse_effect_mean	mouse_effect_IQR	mouse_effect_sign	LOOCV_top10_fraction	LOOCV_rank_median	LOOCV_rank_min	LOOCV_rank_max	empirical_p	empirical_FDR	null_percentile	null_model_type	LOOCV_stability	stability_component	null_model_component	external_perturbation_support_verified	external_perturbation_component	external_assessed	suggested_perturbation	expected_readout	negative_control	specificity_control	source_signal_step	receptor_step	tcell_state_step	transcriptional_program_step	effector_response_step	myeloid_response_step	tumor_killing_step	mechanistic_evidence_coherence	biological_validity_component	experimental_testability_component	evidence_score	score_contribution_replication_component	score_contribution_effect_component	score_contribution_statistical_component	score_contribution_RNA_component	score_contribution_ADT_component	score_contribution_state_component	score_contribution_temporal_component	score_contribution_interaction_component	score_contribution_stability_component	score_contribution_null_model_component	score_contribution_biological_validity_component	score_contribution_mechanistic_evidence_coherence	score_contribution_independence_component	score_contribution_experimental_testability_component	score_contribution_external_perturbation_component	evidence_gate	causality_tier	causality_label	why_test	missing_evidence
NK	Tnfsf4	Tnfrsf4	CD8	43	0.0612171595043539	0.1695332738777762	-0.5179704016913319	0.061815512699556	0.4821806100875868	0.096533573112733	0.5449467	0.1818946036510169	1.9839206	1.6846005428952665e-05	False	RNA+ADT-supported	0.2410903050437934	0.4214778833333333	0.1018741648715274	1.0	0.3601259105729665	Tier 3 — exploratory	3.0			0.0	0.2881007284583732	NK → Tnfsf4 → Tnfrsf4 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	1.486063567153027	0.6570621287717398	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Tnfsf4 → Tnfrsf4 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.2881007284583732	0.061815512699556	0.7209302325581395	31.0	12.0	43	True	True	False	True	True	HIGH																			VALID_LR	True		False	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Tnfsf4	MULTI|NK|Tnfsf4	multicellular_association	multicellular_association	1.0	0.12089025243544607	1.0	0.75	0.0	1.0	1.0	0.0	1.0	0.75	AXIS|Tnfsf4|Tnfrsf4	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	31.0	12.0	0.7209302325581395	-0.0001863673900919	-0.0015318403487175	0.0018785321229554	negative	1.0	9.0	7.0	9.0	0.0039960039960039	0.0149040149040149	0.999	within-candidate mouse-effect sign permutation	1.0	1.0	0.9960039960039961		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.7634516299905724	0.07142857142857142	0.07142857142857142	0.008635018031103291	0.07142857142857142	0.07142857142857142	0.0	0.0	0.07142857142857142	0.07142857142857142	0.07114314257171402	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Tnfsf4	Traf2	CD8	43	0.0612171595043539	0.1747144009852634	-0.5179704016913319	0.061815512699556	0.4821806100875868	0.096533573112733	0.06733799	1.0	0.00551033	1.0	False	RNA+ADT-supported	0.2410903050437934	0.0121413866666666	0.1034191440344703	1.0	0.2081007822388884	Tier 3 — exploratory	3.0			0.0	0.1664806257911107	NK → Tnfsf4 → Traf2 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.157628657507002	0.9657376350639192	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Tnfsf4 → Traf2 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.1664806257911107	0.061815512699556	0.7209302325581395	31.0	12.0	43	True	True	False	True	True	HIGH																			UNKNOWN	False		False	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Tnfsf4	MULTI|NK|Tnfsf4	multicellular_association	multicellular_association	0.8753035093056731	0.12089025243544607	1.0	0.75	0.0	1.0	1.0	0.0	1.0	0.75	AXIS|Tnfsf4|Traf2	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	31.0	12.0	0.7209302325581395	-0.0001863673900919	-0.0015318403487175	0.0018785321229554	negative	0.0	75.0	75.0	75.0	0.0029970029970029	0.0116503215094764	0.999	within-candidate mouse-effect sign permutation	0.0	0.0	0.9970029970029971		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	0.25	1.0	0.6296160950123347	0.07142857142857142	0.06252167923611951	0.008635018031103291	0.07142857142857142	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.07121449978592836	0.017857142857142856	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
T_cell	Pkm	Cd44	CD8	47	0.6782231957503377	0.6943984371682166	-0.5376965772432932	0.0394332468179697	0.4617252543940796	0.096533573112733	0.72633934	2.259520716935255e-05	-0.06925821	0.6463675366823181	False	RNA+ADT-supported	0.2308626271970398	0.1210565566666666	0.6862631617537605	1.0	0.3983186910363827	Tier 3 — exploratory	3.0	0.1789622566720064	1.0	0.8210377433279936	0.4828625014947049	T_cell → Pkm → Cd44 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in T_cell and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.0942330451866064	0.9355611534046334	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	T_cell → Pkm → Cd44 → CD8	multicellular	source-cell ↔ T-cell program / feedback	T_cell	CD8	0.4828625014947049	0.0394332468179697	0.7446808510638298	35.0	12.0	47	True	True	False	True	True	HIGH																			INVALID_LR	False	T-cell intrinsic PKM-associated metabolic state; extracellular PKM→CD44 is not established	False	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|T_cell|Pkm	MULTI|T_cell|Pkm	multicellular_association	multicellular_association	1.0	0.14041374629197856	1.0	0.75	0.0	1.0	1.0	0.0	1.0	0.75	AXIS|Pkm|Cd44	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	47.0	35.0	12.0	0.7446808510638298	-0.0010903163764033	-0.0043366525845301	0.006490864008597	negative	0.0	13.0	13.0	13.0	0.0019980019980019	0.0086163836163836	1.0	within-candidate mouse-effect sign permutation	0.0	0.0	0.9980019980019981		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	0.0	1.0	0.6221317368373248	0.07142857142857142	0.07142857142857142	0.010029553306569896	0.07142857142857142	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.07128585700014271	0.0	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Spp1	Itga4_Itgb1	CD8	43	0.3081169291343778	0.7186478107614556	-0.5119299305345817	0.0722159632103581	0.0780730897009966	0.9331629230528572	-0.19079351	0.370122225554747	-0.6269026	2.662078670593558e-05	False	RNA-supported	0.0390365448504983	0.0	0.4705608957201641	1.0	0.2077749698417072	Tier 3 — exploratory	3.0	0.3824989105148775	0.2152951993801858	0.6175010894851225	0.2897201937703902	NK → Spp1 → Itga4_Itgb1 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)			9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Spp1 → Itga4_Itgb1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.2897201937703902	0.0722159632103581	0.6976744186046512	30.0	13.0	43	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Spp1	MULTI|NK|Spp1	multicellular_association	multicellular_association	1.0	0.11413667917948866	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Spp1|Itga4_Itgb1	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	30.0	13.0	0.6976744186046512	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	0.0	80.0	80.0	80.0	0.0079920079920079	0.0247842045594854	1.0	within-candidate mouse-effect sign permutation	0.0	0.0	0.9920079920079921		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6198266601868608	0.07142857142857142	0.07142857142857142	0.008152619941392047	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07085771371485658	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Spp1	Ptger4	CD8	43	0.3081169291343778	0.2780396653501507	-0.5119299305345817	0.0722159632103581	0.0780730897009966	0.9331629230528572	0.41176152	0.0015393552177747	-0.52510667	0.0006250920282148	False	RNA-supported	0.0390365448504983	0.06862692	0.2926922067039683	1.0	0.2393579620384681	Tier 3 — exploratory	3.0	0.5434730943262657	0.3254171453362398	0.4565269056737343	0.2827917507655213	NK → Spp1 → Ptger4 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.4128133619806529	0.9205006315416916	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Spp1 → Ptger4 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.2827917507655213	0.0722159632103581	0.6976744186046512	30.0	13.0	43	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Spp1	MULTI|NK|Spp1	multicellular_association	multicellular_association	1.0	0.11413667917948866	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Spp1|Ptger4	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	30.0	13.0	0.6976744186046512	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	0.0	81.0	81.0	81.0	0.0079920079920079	0.0247842045594854	0.999	within-candidate mouse-effect sign permutation	0.0	0.0	0.9920079920079921		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6198266601868608	0.07142857142857142	0.07142857142857142	0.008152619941392047	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07085771371485658	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Spp1	Itgav_Itgb3	CD8	43	0.3081169291343778	0.1736951628657577	-0.5119299305345817	0.0722159632103581	0.0780730897009966	0.9331629230528572	-0.5537106	0.0045006933207894	-0.78209853	0.0004179291465249	False	RNA-supported	0.0390365448504983	0.0	0.2313404854055876	1.0	0.2099308877787919	Tier 3 — exploratory	3.0	0.5298165672802182	0.2494789859359188	0.4701834327197818	0.2619813967669899	NK → Spp1 → Itgav_Itgb3 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)			9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Spp1 → Itgav_Itgb3 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.2619813967669899	0.0722159632103581	0.6976744186046512	30.0	13.0	43	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Spp1	MULTI|NK|Spp1	multicellular_association	multicellular_association	1.0	0.11413667917948866	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Spp1|Itgav_Itgb3	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	30.0	13.0	0.6976744186046512	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	0.0	78.0	78.0	78.0	0.0079920079920079	0.0247842045594854	1.0	within-candidate mouse-effect sign permutation	0.0	0.0	0.9920079920079921		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6198266601868608	0.07142857142857142	0.07142857142857142	0.008152619941392047	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07085771371485658	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Spp1	Cd44	CD8	43	0.3081169291343778	0.6943984371682166	-0.5119299305345817	0.0722159632103581	0.0780730897009966	0.9331629230528572	0.72633934	2.259520716935255e-05	-0.06925821	0.6463675366823181	False	RNA-supported	0.0390365448504983	0.1210565566666666	0.4625536877552508	1.0	0.2364376674153912	Tier 3 — exploratory	3.0	0.4136471825798149	0.8202774066442073	0.5863528174201851	0.30642069741635	NK → Spp1 → Cd44 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	0.0942330451866064	0.9355611534046334	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Spp1 → Cd44 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.30642069741635	0.0722159632103581	0.6976744186046512	30.0	13.0	43	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Spp1	MULTI|NK|Spp1	multicellular_association	multicellular_association	1.0	0.11413667917948866	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Spp1|Cd44	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	30.0	13.0	0.6976744186046512	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	0.0	78.0	78.0	78.0	0.0119880119880119	0.0344655344655344	0.995	within-candidate mouse-effect sign permutation	0.0	0.0	0.9880119880119881		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6195412313300034	0.07142857142857142	0.07142857142857142	0.008152619941392047	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07057228485799914	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Spp1	Itgav_Itgb1	CD8	43	0.3081169291343778	0.4708880112116191	-0.5119299305345817	0.0722159632103581	0.0780730897009966	0.9331629230528572	-0.19079351	0.370122225554747	-0.5470314	0.0001382533409225	False	RNA-supported	0.0390365448504983	0.0	0.3809049329960411	1.0	0.1898437772968826	Tier 3 — exploratory	3.0	0.6438652809179302	0.2574690592342178	0.3561347190820698	0.22310196565392	NK → Spp1 → Itgav_Itgb1 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)			9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Spp1 → Itgav_Itgb1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.22310196565392	0.0722159632103581	0.6976744186046512	30.0	13.0	43	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Spp1	MULTI|NK|Spp1	multicellular_association	multicellular_association	1.0	0.11413667917948866	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Spp1|Itgav_Itgb1	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	30.0	13.0	0.6976744186046512	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	0.0	82.0	82.0	82.0	0.0119880119880119	0.0344655344655344	0.996	within-candidate mouse-effect sign permutation	0.0	0.0	0.9880119880119881		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6195412313300034	0.07142857142857142	0.07142857142857142	0.008152619941392047	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07057228485799914	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
NK	Spp1	S1pr1	CD8	43	0.3081169291343778	0.3393638255404084	-0.5119299305345817	0.0722159632103581	0.0780730897009966	0.9331629230528572	-0.5540447	0.0039152746456846	-1.433454	6.8649516200110315e-06	False	RNA-supported	0.0390365448504983	0.0	0.3233631701118811	1.0	0.2283354247200506	Tier 3 — exploratory	3.0	0.9816854135931798	0.1024623067293332	0.0183145864068201	0.1863312570574045	NK → Spp1 → S1pr1 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in NK and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-1.3358326238413225	0.5937520087596865	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	NK → Spp1 → S1pr1 → CD8	multicellular	source-cell ↔ T-cell program / feedback	NK	CD8	0.1863312570574045	0.0722159632103581	0.6976744186046512	30.0	13.0	43	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|NK|Spp1	MULTI|NK|Spp1	multicellular_association	multicellular_association	0.9796719733641956	0.11413667917948866	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Spp1|S1pr1	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	43.0	30.0	13.0	0.6976744186046512	-0.0028677550581524	-0.0095361253696653	0.0146934951541235	negative	0.0	83.0	83.0	83.0	0.0059940059940059	0.0201749470042152	1.0	within-candidate mouse-effect sign permutation	0.0	0.0	0.9940059940059941		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6185173727127322	0.07142857142857142	0.06997656952601397	0.008152619941392047	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.07100042814328529	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
monocyte_macrophage	Cd80	Cd28	CD8	45	0.4963813588068506	0.8301269800823884	-0.4949934123847166	0.0789973063854379	0.3093544137022397	0.4450691760361901	0.26272535	0.2307240622907612	-0.7244303	7.001262895656168e-06	False	RNA-supported	0.1546772068511198	0.0437875583333333	0.6419186540018317	1.0	0.2934676427815916	Tier 3 — exploratory	3.0	0.1493184555087617	0.0874267002502295	0.8506815444912383	0.404910423123521	monocyte_macrophage → Cd80 → Cd28 → CD8 activation-associated program	CORRELATIONAL	Perturb ligand in monocyte_macrophage and independently KO/CRISPRi receptor in target T cells	Increase ligand exposure or expression, with receptor-deficient T cells as specificity control	0.80×animal-level interaction score + 0.20×(1−LIANA magnitude rank)	-0.8818507861181617	0.4057841594185775	9.0	6.0	0.0	0.8046695441735882	False	ordered cross-sectional support only	monocyte_macrophage → Cd80 → Cd28 → CD8	multicellular	source-cell ↔ T-cell program / feedback	monocyte_macrophage	CD8	0.404910423123521	0.0789973063854379	0.6666666666666666	30.0	15.0	45	True	False	False	True	True	HIGH																			VALID_LR	True		True	False	True	True	NOT_ASSESSED	0				No external perturbational dataset integrated	NOT_ASSESSED	MULTI|monocyte_macrophage|Cd80	MULTI|monocyte_macrophage|Cd80	multicellular_association	multicellular_association	1.0	0.11023877168346788	1.0	0.5	0.0	1.0	0.0	0.0	1.0	0.5	AXIS|Cd80|Cd28	same annotated ligand/contact/sheddase and molecular target axis	identical molecular entities; source alone is not used for collapse	HIGH	45.0	30.0	15.0	0.6666666666666666	-0.0007470268383185	-0.0035497215777359	0.005776619602934	negative	0.0	84.0	84.0	84.0	0.0259740259740259	0.066998422138609	0.991	within-candidate mouse-effect sign permutation	0.0	0.0	0.9740259740259741		0.0	False	source-cell perturbation plus T-cell-specific perturbation and rescue	CD69/CD137, T-cell effector program and tumor-cell killing	non-targeting guide plus untreated/irrelevant control	receptor-deficient T cells or matched source-cell control	SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	SUPPORTED	PARTIALLY_SUPPORTED	MISSING	MISSING	0.5714285714285714	1.0	1.0	0.6182638083670009	0.07142857142857142	0.07142857142857142	0.007874197977390562	0.07142857142857142	0.0	0.0	0.0	0.07142857142857142	0.0	0.06957328385899815	0.07142857142857142	0.04081632653061224	0.07142857142857142	0.07142857142857142	0.0	False	2	ASSOCIATION_ONLY	Test necessity and sufficiency; Phase 1.5 is associative.	
