treatment	time_hours	checkpoint_blockade	mouse_id	cells	eligible
baseline	0	False	Masopust_053_1a:A0307	3426	3116
baseline	0	False	Masopust_053_1a:A0308	533	337
baseline	0	False	Masopust_053_1a:A0309	2824	1174
baseline	0	False	Masopust_053_1b:A0307	2787	2559
baseline	0	False	Masopust_053_1b:A0308	446	274
baseline	0	False	Masopust_053_1b:A0309	2216	856
innate_agonist	12	True	Masopust_054_E:A0311	3724	3468
innate_agonist	48	True	Masopust_053_6a:A0308	8832	8300
innate_agonist	48	True	Masopust_053_6b:A0307	232	153
innate_agonist	48	True	Masopust_053_6b:A0308	8861	8140
irrelevant_peptide	12	False	Masopust_053_2a:A0310	2398	2080
irrelevant_peptide	12	False	Masopust_053_2a:A0311	161	133
irrelevant_peptide	12	False	Masopust_053_2a:A0312	1204	956
irrelevant_peptide	12	False	Masopust_053_2b:A0310	2182	1889
irrelevant_peptide	12	False	Masopust_053_2b:A0311	160	140
irrelevant_peptide	12	False	Masopust_053_2b:A0312	1138	867
irrelevant_peptide	12	True	Masopust_054_C:A0311	1760	1177
irrelevant_peptide	12	True	Masopust_054_C:A0312	362	346
irrelevant_peptide	12	True	Masopust_054_C:A0313	4426	4136
irrelevant_peptide	48	False	Masopust_053_3a:A0307	1159	997
irrelevant_peptide	48	False	Masopust_053_3a:A0308	1704	1566
irrelevant_peptide	48	False	Masopust_053_3a:A0309	939	695
irrelevant_peptide	48	False	Masopust_053_3b:A0307	1061	881
irrelevant_peptide	48	False	Masopust_053_3b:A0308	1465	1330
irrelevant_peptide	48	False	Masopust_053_3b:A0309	779	578
irrelevant_peptide	48	True	Masopust_054_D:A0311	9804	8951
irrelevant_peptide	48	True	Masopust_054_D:A0312	2869	2503
irrelevant_peptide	48	True	Masopust_054_D:A0313	3659	3175
relevant_peptide	12	False	Masopust_053_1a:A0310	2169	1646
relevant_peptide	12	False	Masopust_053_1a:A0311	1144	955
relevant_peptide	12	False	Masopust_053_1a:A0312	599	439
relevant_peptide	12	False	Masopust_053_1b:A0310	1882	1380
relevant_peptide	12	False	Masopust_053_1b:A0311	1009	809
relevant_peptide	12	False	Masopust_053_1b:A0312	513	354
relevant_peptide	12	True	Masopust_053_3a:A0310	3413	2251
relevant_peptide	12	True	Masopust_053_3a:A0311	3099	2282
relevant_peptide	12	True	Masopust_053_3b:A0310	3556	2566
relevant_peptide	12	True	Masopust_053_3b:A0311	2466	1844
relevant_peptide	12	True	Masopust_054_A:A0311	378	371
relevant_peptide	12	True	Masopust_054_A:A0312	6573	6419
relevant_peptide	48	False	Masopust_053_2a:A0307	2344	1990
relevant_peptide	48	False	Masopust_053_2a:A0308	2444	2071
relevant_peptide	48	False	Masopust_053_2a:A0309	3401	1571
relevant_peptide	48	False	Masopust_053_2b:A0307	2264	1903
relevant_peptide	48	False	Masopust_053_2b:A0308	2333	1937
relevant_peptide	48	False	Masopust_053_2b:A0309	3752	2090
relevant_peptide	48	True	Masopust_054_B:A0311	2928	2846
relevant_peptide	48	True	Masopust_054_B:A0312	948	911
