library	gex_file	n_cells_filtered_matrix	n_features	median_umis	median_genes	median_pct_mt	cells_pct_mt_gt_20	adt_all_barcodes	adt_matched_gex	hto_all_barcodes	hto_matched_gex
Masopust_053_1a	GSM9574578_Masopust_053_1a_GEX_FL_filtered_feature_bc_matrix.h5	12389	31053	6504.0	2122.0	3.2664830684661865	3252	1241671	12384	348684	12383
Masopust_053_1b	GSM9574579_Masopust_053_1b_GEX_FL_filtered_feature_bc_matrix.h5	10364	31053	6755.0	2127.0	3.6083900928497314	2798	1164694	10362	352108	10355
Masopust_053_2a	GSM9574580_Masopust_053_2a_GEX_FL_filtered_feature_bc_matrix.h5	13854	31053	7591.0	2462.0	3.3587779998779297	3292	1613739	13853	385119	13849
Masopust_053_2b	GSM9574581_Masopust_053_2b_GEX_FL_filtered_feature_bc_matrix.h5	13572	31053	8138.5	2562.5	3.3737235069274902	3157	1727449	13568	391625	13565
Masopust_053_3a	GSM9574582_Masopust_053_3a_GEX_FL_filtered_feature_bc_matrix.h5	12201	31053	5890.0	1987.0	2.8527698516845703	2637	1305106	12196	327368	12187
Masopust_053_3b	GSM9574583_Masopust_053_3b_GEX_FL_filtered_feature_bc_matrix.h5	10767	31053	5469.0	1862.0	3.2082128524780273	2336	953982	10763	246123	10760
Masopust_053_6a	GSM9574584_Masopust_053_6a_GEX_FL_filtered_feature_bc_matrix.h5	12704	31053	3652.0	1526.0	2.203273296356201	2434	1861571	12701	654614	12700
Masopust_053_6b	GSM9574585_Masopust_053_6b_GEX_FL_filtered_feature_bc_matrix.h5	13804	31053	4905.5	1832.0	2.448943853378296	2726	1615528	13800	499307	13799
Masopust_054_A	GSM9574602_Masopust_054_A_GEX_filtered_feature_bc_matrix.h5	11687	31053	7470.0	2424.0	3.200948715209961	1308	3619673	11687	401894	11673
Masopust_054_B	GSM9574603_Masopust_054_B_GEX_filtered_feature_bc_matrix.h5	5889	31053	5151.0	1964.0	2.612309455871582	518	3626015	5889	1145953	5888
Masopust_054_C	GSM9574604_Masopust_054_C_GEX_filtered_feature_bc_matrix.h5	6868	31053	7835.5	2513.0	2.967097759246826	830	3280516	6868	770196	6865
Masopust_054_D	GSM9574605_Masopust_054_D_GEX_filtered_feature_bc_matrix.h5	19400	31053	2699.5	1261.5	3.5409512519836426	1673	3583044	19399	810760	19386
Masopust_054_E	GSM9574606_Masopust_054_E_GEX_filtered_feature_bc_matrix.h5	8262	31053	7574.0	2276.0	4.653730392456055	1246	3437560	8254	299422	7639
