library	cells	adt_features	hto_features	hto_active_features	adt_missing	hto_missing	hto_singlet	hto_doublet	hto_negative	scrublet_ok	scrublet_doublet	provisional_qc_pass
Masopust_053_1a	12389	129	6	A0307;A0308;A0309;A0310;A0311;A0312	5	6	10695	1514	174	False	0	7740
Masopust_053_1b	10364	129	6	A0307;A0308;A0309;A0310;A0311;A0312	2	9	8853	1342	160	False	0	6288
Masopust_053_2a	13854	129	6	A0307;A0308;A0309;A0310;A0311;A0312	1	5	11952	1720	177	False	0	8868
Masopust_053_2b	13572	129	6	A0307;A0308;A0309;A0310;A0311;A0312	4	7	11829	1590	146	False	0	8874
Masopust_053_3a	12201	129	6	A0307;A0308;A0309;A0310;A0311;A0312	5	14	10314	1795	78	False	0	7852
Masopust_053_3b	10767	129	6	A0307;A0308;A0309;A0310;A0311;A0312	4	7	9327	1382	51	False	0	7246
Masopust_053_6a	12704	129	6	A0307;A0308	3	4	8832	0	3868	False	0	10267
Masopust_053_6b	13804	129	6	A0307;A0308	4	5	9093	930	3776	False	0	10226
Masopust_054_A	11687	129	15	A0311;A0312	0	14	6951	40	4682	False	0	10172
Masopust_054_B	5889	129	15	A0311;A0312	0	1	3876	87	1925	False	0	5096
Masopust_054_C	6868	129	15	A0311;A0312;A0313	0	3	6548	164	153	False	0	5749
Masopust_054_D	19400	129	15	A0311;A0312;A0313	1	14	16332	3054	0	False	0	14643
Masopust_054_E	8262	129	15	A0311;A0312	8	623	3724	0	3915	False	0	6928
