TF	lineage	contrast	level_a	level_b	activity_effect_a_minus_b	pvalue	FDR	n_strata	direction_consistency
Irf1	CD4	48h_vs_12h	48	12	-0.6106920661857678	7.2309829450680245e-06	0.0021909878323556112	4	0.75
Stat2	CD4	48h_vs_12h	48	12	-1.243668773152867	3.233648994312729e-05	0.004898978226383784	4	0.75
Irf2	CD4	48h_vs_12h	48	12	-0.428070144910485	0.00039150126351253817	0.029656220711074766	4	0.75
Relb	CD4	48h_vs_12h	48	12	-0.3636379929138385	0.00034057287281670225	0.029656220711074766	4	0.75
Irf9	CD4	48h_vs_12h	48	12	-0.620460159894255	0.0005957371063791154	0.036101668646574395	4	0.75
Nfkb2	CD4	48h_vs_12h	48	12	-0.43207086960679103	0.0008438758883107329	0.04261573235969201	4	0.75
Etv6	CD4	48h_vs_12h	48	12	-0.11333491634371383	0.0022023007593560654	0.07414412556498753	4	0.75
Hmbox1	CD4	48h_vs_12h	48	12	-0.2008613239315673	0.001732061775531775	0.07414412556498753	4	0.75
Stat6	CD4	48h_vs_12h	48	12	-0.32843483944920243	0.001966109865442968	0.07414412556498753	4	0.75
Ncoa3	CD4	48h_vs_12h	48	12	-0.3033701975598162	0.00295352938892266	0.0894919404843566	4	0.75
Wt1	CD4	48h_vs_12h	48	12	-0.23854405334972045	0.003249216682068964	0.08950115042426328	4	0.75
Cebpb	CD4	48h_vs_12h	48	12	-0.50886749081816	0.005349173185527039	0.12467688270882252	4	0.75
Zbtb11	CD4	48h_vs_12h	48	12	-0.19125559545426907	0.005331083470063434	0.12467688270882252	4	1.0
Stat5b	CD4	48h_vs_12h	48	12	-0.281236452661579	0.006166190809457773	0.13345398680469323	4	0.75
Mef2a	CD4	48h_vs_12h	48	12	-0.304228803458285	0.006789333161453042	0.13714452986135145	4	0.75
Arid2	CD4	48h_vs_12h	48	12	-0.197990118557467	0.00829340272342023	0.14781770736449	4	0.75
Foxm1	CD4	48h_vs_12h	48	12	0.7631669794892073	0.00826641898888872	0.14781770736449	4	1.0
Irf4	CD4	48h_vs_12h	48	12	-0.3500864463310901	0.00903243353817178	0.15114451410287974	4	1.0
Mybl2	CD4	48h_vs_12h	48	12	0.38094419633484367	0.009477708805131073	0.15114451410287974	4	0.75
Cdx2	CD4	48h_vs_12h	48	12	-0.20417749962589318	0.01083034618506739	0.1562664235274009	4	0.75
Prdm1	CD4	48h_vs_12h	48	12	-0.21820880627352032	0.010735755091529983	0.1562664235274009	4	1.0
Atf2	CD4	48h_vs_12h	48	12	-0.21917299816703317	0.015693309334534344	0.2010302490865894	4	0.75
Gli1	CD4	48h_vs_12h	48	12	-0.2189468067888422	0.017250120383667737	0.2010302490865894	4	0.75
Klf4	CD4	48h_vs_12h	48	12	-0.2786499010666071	0.017209097039733334	0.2010302490865894	4	1.0
Mnt	CD4	48h_vs_12h	48	12	-0.28874488904236106	0.016175734067849692	0.2010302490865894	4	0.75
Zhx1	CD4	48h_vs_12h	48	12	-0.11540816429979342	0.0171245879613307	0.2010302490865894	4	0.75
Hhex	CD4	48h_vs_12h	48	12	-0.2133462109874915	0.020749343359313385	0.22453753706685556	4	1.0
Smad4	CD4	48h_vs_12h	48	12	-0.22131532713959448	0.020349639061048537	0.22453753706685556	4	0.75
Eomes	CD4	48h_vs_12h	48	12	-0.2094446667269461	0.023848760595431697	0.22757944486137308	4	0.5
Foxl2	CD4	48h_vs_12h	48	12	-0.15127341061874217	0.02471899623788728	0.22757944486137308	4	0.75
Nr1h2	CD4	48h_vs_12h	48	12	-0.10355492916839575	0.022633927006031025	0.22757944486137308	4	1.0
Nr5a2	CD4	48h_vs_12h	48	12	0.11723328277030906	0.025840899148680308	0.22757944486137308	4	0.75
Rarb	CD4	48h_vs_12h	48	12	-0.1701370072366602	0.025508188417879954	0.22757944486137308	4	1.0
Zfp143	CD4	48h_vs_12h	48	12	0.041768463658497894	0.024257259887533498	0.22757944486137308	4	0.75
Zfp644	CD4	48h_vs_12h	48	12	-0.13650233547670163	0.026288054686957284	0.22757944486137308	4	1.0
Bach1	CD4	48h_vs_12h	48	12	-0.2442983225089946	0.02927584889690891	0.2464050615489833	4	0.75
Tbx21	CD4	48h_vs_12h	48	12	-0.29367099276122066	0.03083077159381698	0.25247902143044715	4	0.75
Rxrb	CD4	48h_vs_12h	48	12	0.20096224554169825	0.03379467658569944	0.26946807909123505	4	1.0
Mbd2	CD4	48h_vs_12h	48	12	-0.19863957410633729	0.035592019826860784	0.27294082739542613	4	1.0
Sox10	CD4	48h_vs_12h	48	12	0.20972992496422174	0.03603179239543579	0.27294082739542613	4	0.75
Nfyb	CD4	48h_vs_12h	48	12	0.25356825667369	0.037373284247897376	0.2752247690595565	4	0.5
Runx3	CD4	48h_vs_12h	48	12	-0.3107396059755425	0.03814996798845338	0.2752247690595565	4	1.0
Arnt	CD4	48h_vs_12h	48	12	-0.14299392116638246	0.04340738024172149	0.2922763602942581	4	0.75
Bcl11a	CD4	48h_vs_12h	48	12	-0.18835133077129726	0.04228884459531216	0.2922763602942581	4	0.75
Pbx3	CD4	48h_vs_12h	48	12	0.12954931862472813	0.042466966132774724	0.2922763602942581	4	0.75
Rxrg	CD4	48h_vs_12h	48	12	0.16236947277247063	0.04955395247636002	0.3264097304421105	4	1.0
Kdm5b	CD4	48h_vs_12h	48	12	-0.15050121895183644	0.053167784616720046	0.33562164039304526	4	0.5
Lhx4	CD4	48h_vs_12h	48	12	-0.061889328981683936	0.05299837406548898	0.33562164039304526	4	0.75
E2f2	CD4	48h_vs_12h	48	12	0.41152054482465406	0.05591766875844776	0.345776604771626	4	0.75
Foxa3	CD4	48h_vs_12h	48	12	-0.0952076685009496	0.05790614186181328	0.35001824737337073	4	0.75
Thap11	CD4	48h_vs_12h	48	12	0.2419092996843181	0.05891396242918122	0.35001824737337073	4	1.0
E2f4	CD4	48h_vs_12h	48	12	0.875520954519518	0.06303755260133623	0.3666349216461429	4	0.75
Neurod1	CD4	48h_vs_12h	48	12	-0.07466081029145064	0.0641308608819986	0.3666349216461429	4	1.0
Stat1	CD4	48h_vs_12h	48	12	-0.7620420292206539	0.06857037232554813	0.384755978048909	4	0.5
Ahr	CD4	48h_vs_12h	48	12	-0.24617040845081117	0.07514627726029421	0.38695422972137405	4	0.75
Elf3	CD4	48h_vs_12h	48	12	0.060662042313478506	0.07068006123184106	0.38695422972137405	4	0.75
Kmt2b	CD4	48h_vs_12h	48	12	0.07929847089004147	0.07834741467775859	0.38695422972137405	4	0.75
Maz	CD4	48h_vs_12h	48	12	0.06884977589136627	0.07592887303751734	0.38695422972137405	4	0.75
Mycn	CD4	48h_vs_12h	48	12	0.10071629187943694	0.08045582994206787	0.38695422972137405	4	0.75
Mycs	CD4	48h_vs_12h	48	12	0.10071629187943694	0.08045582994206787	0.38695422972137405	4	0.75
Nr2f1	CD4	48h_vs_12h	48	12	0.043383727850760744	0.07368934237377715	0.38695422972137405	4	0.75
Spi1	CD4	48h_vs_12h	48	12	-0.574981614596855	0.07794981632195806	0.38695422972137405	4	0.75
Stat3	CD4	48h_vs_12h	48	12	-0.2518419093937392	0.07760706362796933	0.38695422972137405	4	0.5
Foxo1	CD4	48h_vs_12h	48	12	-0.2769455468644308	0.08628315020585008	0.40221222326727035	4	0.75
Sox6	CD4	48h_vs_12h	48	12	0.16693054801071266	0.08513127890134836	0.40221222326727035	4	0.75
E2f1	CD4	48h_vs_12h	48	12	0.4181188620809304	0.09228358638466833	0.42366555567506825	4	0.75
Erg	CD4	48h_vs_12h	48	12	0.10782011872290764	0.09609458709081445	0.43457701326144443	4	0.75
Pdx1	CD4	48h_vs_12h	48	12	-0.01991133244142484	0.10638735374340465	0.460505259775023	4	0.75
Pknox1	CD4	48h_vs_12h	48	12	0.034988218248749016	0.10381768461303864	0.460505259775023	4	0.75
Rbpj	CD4	48h_vs_12h	48	12	-0.19542890268247184	0.10541506601978927	0.460505259775023	4	0.75
Max	CD4	48h_vs_12h	48	12	-0.07466197623525134	0.11466204963001744	0.4825361255263234	4	0.5
