lineage	selector	variant	spearman_vs_primary	pvalue	direction_concordance
CD4	ADT_activation	exclude_congenic_ambiguous	0.9675519628039544	3.673907888528454e-278	0.9439655172413793
CD4	ADT_activation	min40	0.9904158602908508	0.0	0.9698275862068966
CD4	ADT_activation	min80	0.9763360716661472	2.175922262967873e-309	0.9418103448275862
CD4	ADT_activation	primary_q25	1.0	0.0	1.0
CD4	ADT_activation	q20	0.9917465214950062	0.0	0.9676724137931034
CD4	ADT_activation	q33	0.9912015264526338	0.0	0.9741379310344828
CD4	RNA_activation	exclude_congenic_ambiguous	0.9297608024231119	1.2943279258348332e-202	0.9288793103448276
CD4	RNA_activation	min40	0.9775308334142752	0.0	0.959051724137931
CD4	RNA_activation	min80	0.9320760097005565	7.391638023716643e-206	0.9181034482758621
CD4	RNA_activation	primary_q25	1.0	0.0	1.0
CD4	RNA_activation	q20	0.9802189925088026	0.0	0.9612068965517241
CD4	RNA_activation	q33	0.9755248671572873	4.766989398641583e-306	0.9612068965517241
CD8	ADT_activation	exclude_congenic_ambiguous	0.9722977399837005	8.733421331072951e-294	0.9439655172413793
CD8	ADT_activation	min40	0.9895091007262856	0.0	0.9568965517241379
CD8	ADT_activation	min80	0.9694572645890873	3.895677720566889e-284	0.9482758620689655
CD8	ADT_activation	primary_q25	1.0	0.0	1.0
CD8	ADT_activation	q20	0.9870572141340246	0.0	0.9655172413793104
CD8	ADT_activation	q33	0.9872804754030043	0.0	0.9655172413793104
CD8	RNA_activation	exclude_congenic_ambiguous	0.9460453630152991	3.06438294052083e-228	0.9051724137931034
CD8	RNA_activation	min40	0.9780680650106224	0.0	0.9525862068965517
CD8	RNA_activation	min80	0.9317985896000862	1.833882210002989e-205	0.9030172413793104
CD8	RNA_activation	primary_q25	1.0	0.0	1.0
CD8	RNA_activation	q20	0.9722677942150068	1.1170244746700547e-293	0.9461206896551724
CD8	RNA_activation	q33	0.9631512562831399	1.2635027124731994e-265	0.9181034482758621
