treatment	time_hours	checkpoint_blockade	cells	activation_RNA_median	activation_ADT_median	cytotoxicity_median	dysfunction_median
baseline	0	False	4124	0.09584412929987668	-0.22191862447249222	-0.22152167320251467	-0.20587001291768894
innate_agonist	12	True	997	0.08390212432302613	0.11283710848242748	0.4670527044932048	-0.4210092443227768
innate_agonist	48	True	9764	-0.011348031295670413	-0.06236533630822497	0.3106107326348622	-0.1482492867325034
irrelevant_peptide	12	False	1828	0.09939395740176693	0.07536486454734534	-0.23818611224492392	-0.13649074081863674
irrelevant_peptide	12	True	2885	0.13323683278127163	-0.346344223601458	0.007012879848480202	-0.2822453486919403
irrelevant_peptide	48	False	2540	0.09303445376531039	0.08405607009358	-0.2145433449745178	0.06007002288741725
irrelevant_peptide	48	True	2645	0.14022547548467462	-0.2208307689964562	-0.017402539253234872	-0.2660749074390957
relevant_peptide	12	False	1717	0.17747981993839002	-0.045299438250507106	-0.23703813155492148	-0.2662109087194715
relevant_peptide	12	True	5739	0.20950545831160106	0.06893722730470245	-0.0046815522511800545	-0.2621061302934374
relevant_peptide	48	False	6149	-0.03314811162876363	0.017836710507435648	-0.01876482923825573	-0.12739341942327354
relevant_peptide	48	True	2564	0.05730781622908332	-0.03233822139695969	0.115118952592214	-0.2967238992452621
