tcell_cluster	score_activation_immediate	score_effector_cytokine	score_cytotoxicity	score_proliferation	score_naive_memory	score_dysfunction	score_interferon_response	dominant_program_provisional	manual_review_required
0	-0.08214130193898173	0.06480161746342972	0.18017679135004683	1.029870163912725	-0.2625899958610534	-0.11161599133695876	-0.33615196364266536	proliferation	True
1	0.0801492328445117	-0.6807210239271323	-0.45066388527552287	1.0902689773627001	-0.20196596513191858	-0.0005941968730517333	-0.22788922196626665	proliferation	True
2	0.005805627023330873	0.5149230655034384	0.23396896998087569	-0.1711372799343533	0.16029413700103762	-0.320759642124176	-0.165474910736084	effector_cytokine	True
3	-0.023869990700423116	0.6820982948939005	0.11955419898033143	-0.24548102072393052	0.19120021661122646	-0.3293227272374289	-0.22166186448505945	effector_cytokine	True
4	0.3485799648243971	1.6858788816134136	0.41220269342263544	-0.25165458264374974	-0.15464834332466124	-0.14835818112960883	-0.33876773226261137	effector_cytokine	True
5	0.022127410137292136	-0.19192639668782552	-0.18019987424214678	-0.16247822539974946	0.03369834105173747	0.09878050787108283	-0.2700447754859924	dysfunction	True
6	0.10484846956802135	0.4652019429206848	0.09771110177040104	-0.2522774543425049	0.30552212675412505	-0.30870601709399903	-0.1956491903066635	effector_cytokine	True
7	0.14962331008429486	-0.3208300065994263	-0.3944692226250967	-0.22722087966071236	0.18016982237497964	-0.25364004441670013	-0.17485197121756418	naive_memory	True
8	0.03750233794703628	1.0502861404418946	0.973059043486913	-0.2266747018303534	-0.20340670903523766	-0.19698545890195024	-0.11350654874529156	effector_cytokine	True
9	-0.08210022268873263	0.25124028205871585	0.4851192899545035	-0.11106106428184895	-0.2583623234430949	0.08491001137665338	-0.2527305897985186	cytotoxicity	True
10	0.13322511842154489	0.3826133598883948	0.17204809427261353	-0.24290278343239216	0.05859629869461058	-0.35970352181366516	1.2059466715540204	interferon_response	True
11	0.2372306820118066	-0.4533940947055817	-0.25764188627401996	-0.2201716761396389	-0.040493550300598175	0.13524176887103484	-0.07055319675377436	activation_immediate	True
12	0.30505809970576353	-0.5061483506361644	-0.5646829265356064	-0.21449150792276017	0.07157299160957337	-0.3945716418113027	-0.054364407982145035	activation_immediate	True
13	0.09435192599441067	-0.46266559918721517	-0.34308720588684083	-0.2606973894918808	0.6810038201014201	-0.340571160869939	-0.06608565306663511	naive_memory	True
14	0.2378172433737552	0.3679256478945415	0.15146429061889644	-0.25614276317634965	0.19352704763412476	-0.2818353499685015	-0.18883427105631148	effector_cytokine	True
