tcell_cluster	t_lineage_provisional	dominant_program_provisional	cells
0	CD4	proliferation	201
0	CD8	proliferation	4166
0	ambiguous	proliferation	240
1	CD4	proliferation	561
1	CD8	proliferation	3
1	ambiguous	proliferation	4
2	CD4	effector_cytokine	345
2	CD8	effector_cytokine	2390
2	ambiguous	effector_cytokine	574
3	CD4	effector_cytokine	110
3	CD8	effector_cytokine	3796
3	ambiguous	effector_cytokine	542
4	CD4	effector_cytokine	44
4	CD8	effector_cytokine	1199
4	ambiguous	effector_cytokine	81
5	CD4	dysfunction	262
5	CD8	dysfunction	1031
5	ambiguous	dysfunction	364
6	CD4	effector_cytokine	167
6	CD8	effector_cytokine	3992
6	ambiguous	effector_cytokine	851
7	CD4	naive_memory	5405
7	CD8	naive_memory	158
7	ambiguous	naive_memory	94
8	CD4	effector_cytokine	56
8	CD8	effector_cytokine	1497
8	ambiguous	effector_cytokine	28
9	CD4	cytotoxicity	124
9	CD8	cytotoxicity	3740
9	ambiguous	cytotoxicity	265
10	CD4	interferon_response	270
10	CD8	interferon_response	518
10	ambiguous	interferon_response	72
11	CD4	activation_immediate	3801
11	CD8	activation_immediate	19
11	ambiguous	activation_immediate	58
12	CD4	activation_immediate	1470
12	CD8	activation_immediate	14
12	ambiguous	activation_immediate	24
13	CD4	naive_memory	275
13	CD8	naive_memory	558
13	ambiguous	naive_memory	202
14	CD4	effector_cytokine	468
14	CD8	effector_cytokine	466
14	ambiguous	effector_cytokine	447
